 -0.885000000000000     
  1.561959-164  1.567956-164  1.585878-164  1.553008-164  1.566413-164  1.561700-164  1.557726-164  1.565518-164
  1.521710-164  1.572691-164  1.538090-164  1.534387-164  1.532866-164  1.537941-164  1.518847-164  1.500158-164
  1.510443-164  1.500106-164  1.500057-164  1.482087-164  1.490220-164  1.480334-164  1.455919-164  1.444883-164
  1.453565-164  1.441495-164  1.423770-164  1.416444-164  1.402220-164  1.409525-164  1.380829-164  1.376825-164
  1.363174-164  1.365746-164  1.351648-164  1.323112-164  1.332671-164  1.304959-164  1.304350-164  1.280400-164
  1.281876-164  1.274964-164  1.249100-164  1.235192-164  1.230219-164  1.219733-164  1.212836-164  1.182005-164
  1.179695-164  1.170309-164  1.155245-164  1.143686-164  1.128749-164  1.121975-164  1.105643-164  1.086061-164
  1.073513-164  1.067895-164  1.059212-164  1.032419-164  1.030708-164  1.019859-164  9.998803-165  9.866924-165
  9.780665-165  9.732833-165  9.469309-165  9.404172-165  9.215990-165  9.207298-165  8.929348-165  8.894135-165
  8.741600-165  8.594668-165  8.580716-165  8.351143-165  8.250963-165  8.129335-165  8.048634-165  7.846990-165
  7.776109-165  7.650341-165  7.555313-165  7.396602-165  7.290074-165  7.194173-165  7.030716-165  6.963701-165
  6.829967-165  6.741992-165  6.599296-165  6.486249-165  6.388832-165  6.249299-165  6.105627-165  6.066610-165
  5.934885-165  5.819326-165  5.737268-165  5.608831-165  5.555035-165  5.409375-165  5.325590-165  5.202169-165
  5.104865-165  5.024968-165  4.933619-165  4.813267-165  4.719784-165  4.664659-165  4.520709-165  4.464305-165
  4.366143-165  4.297197-165  4.196467-165  4.090005-165  4.020791-165  3.944245-165  3.867986-165  3.760123-165
  3.695140-165  3.643091-165  3.534871-165  3.472566-165  3.397743-165  3.337816-165  3.244707-165  3.179206-165
  3.099589-165  3.062604-165  2.986467-165  2.906901-165  2.859507-165  2.793502-165  2.732893-165  2.659896-165
  2.629928-165  2.560788-165  2.519570-165  2.434606-165  2.404089-165  2.341165-165  2.293934-165  2.252189-165
  2.204462-165  2.162746-165  2.114741-165  2.067483-165  2.031582-165  1.990214-165  1.948589-165  1.905387-165
  1.880354-165  1.843296-165  1.805420-165  1.771112-165  1.746670-165  1.712074-165  1.681529-165  1.647970-165
 -0.845000000000000     
  2.719541-158  9.678855-163  2.544318-162  5.125502-162  1.025792-161  1.611010-161  2.078129-161  2.703454-161
  3.550797-161  5.417279-161  5.597327-161  6.606306-161  8.072293-161  9.611338-161  1.111543-160  1.135131-160
  1.453193-160  1.611357-160  1.755383-160  1.809356-160  2.097753-160  2.397735-160  2.406980-160  2.676647-160
  2.819246-160  3.179510-160  3.404401-160  3.521070-160  3.788273-160  4.040454-160  4.132688-160  4.462040-160
  4.587216-160  4.975280-160  5.188681-160  5.316491-160  5.738441-160  5.838324-160  6.126977-160  6.216611-160
  6.683400-160  6.902479-160  6.982309-160  7.305169-160  7.491075-160  7.869573-160  7.892407-160  8.175308-160
  8.472332-160  8.737942-160  8.926915-160  9.080505-160  9.377339-160  9.593535-160  9.739254-160  9.938809-160
  1.014671-159  1.042555-159  1.041200-159  1.065192-159  1.104352-159  1.104639-159  1.131370-159  1.122117-159
  1.160185-159  1.201768-159  1.181942-159  1.216470-159  1.206572-159  1.254059-159  1.238225-159  1.247086-159
  1.273966-159  1.269326-159  1.313317-159  1.287076-159  1.314388-159  1.332326-159  1.320061-159  1.341155-159
  1.338327-159  1.367659-159  1.357806-159  1.364701-159  1.366333-159  1.385477-159  1.387053-159  1.371594-159
  1.384625-159  1.393201-159  1.401888-159  1.390488-159  1.406200-159  1.395217-159  1.397047-159  1.393654-159
  1.395144-159  1.400379-159  1.415991-159  1.386568-159  1.398186-159  1.393983-159  1.390130-159  1.396943-159
  1.357878-159  1.403432-159  1.372164-159  1.368694-159  1.367535-159  1.371731-159  1.354509-159  1.338334-159
  1.347287-159  1.338197-159  1.337895-159  1.322402-159  1.329605-159  1.320681-159  1.298991-159  1.288797-159
  1.296923-159  1.286366-159  1.270490-159  1.263806-159  1.251322-159  1.258125-159  1.232403-159  1.229165-159
  1.216749-159  1.219230-159  1.206738-159  1.181273-159  1.190013-159  1.165553-159  1.165407-159  1.143826-159
  1.145258-159  1.139354-159  1.116161-159  1.104235-159  1.099572-159  1.090496-159  1.084332-159  1.057085-159
  1.055106-159  1.046858-159  1.033390-159  1.023145-159  1.009846-159  1.004156-159  9.894825-160  9.719800-160
  9.608955-160  9.558754-160  9.483663-160  9.242277-160  9.227905-160  9.132495-160  8.953550-160  8.836305-160
  8.759524-160  8.717618-160  8.483782-160  8.423539-160  8.256844-160  8.247810-160  7.999069-160  7.969039-160
  7.833237-160  7.701408-160  7.686948-160  7.483859-160  7.393546-160  7.283635-160  7.212025-160  7.031129-160
  6.966567-160  6.854003-160  6.769310-160  6.625766-160  6.531313-160  6.443806-160  6.297742-160  6.237247-160
  6.117624-160  6.038355-160  5.909436-160  5.806530-160  5.719418-160  5.593836-160  5.464666-160  5.428924-160
