#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------orms------brms------umax------bmax-----divu2m----gg2m------oum------ourms-----oxurms----o2u2m---
  170   1.0166  9.67E-05 2.123E-06 7.049E-04 3.888E-12 2.034E-08 2.061E-03 1.835E+00 3.755E-02 7.911E-03 1.220E-01 3.734E-01 2.33E-11  1.94E-05  2.91E-03  3.30E-03  1.94E-05
  175   1.0171  9.66E-05 2.366E-06 7.229E-04 4.115E-12 2.146E-08 2.176E-03 1.941E+00 3.802E-02 8.417E-03 1.169E-01 3.995E-01 2.47E-11  2.53E-05  3.25E-03  3.69E-03  2.42E-05
  180   1.0175  9.65E-05 2.627E-06 7.376E-04 4.351E-12 2.259E-08 2.292E-03 2.048E+00 3.841E-02 8.821E-03 1.171E-01 4.227E-01 2.61E-11  3.31E-05  3.61E-03  4.10E-03  2.99E-05
  185   1.0180  9.64E-05 2.904E-06 7.528E-04 4.558E-12 2.373E-08 2.410E-03 2.158E+00 3.880E-02 9.268E-03 1.163E-01 4.417E-01 2.73E-11  4.26E-05  4.01E-03  4.54E-03  3.67E-05
  190   1.0185  9.63E-05 3.199E-06 7.701E-04 4.744E-12 2.486E-08 2.529E-03 2.270E+00 3.925E-02 9.987E-03 1.117E-01 4.572E-01 2.85E-11  5.29E-05  4.43E-03  5.00E-03  4.47E-05
  195   1.0190  9.62E-05 3.514E-06 7.873E-04 4.929E-12 2.599E-08 2.651E-03 2.384E+00 3.968E-02 1.067E-02 1.159E-01 4.744E-01 2.96E-11  6.33E-05  4.88E-03  5.50E-03  5.41E-05
  200   1.0195  9.60E-05 3.850E-06 8.060E-04 5.145E-12 2.711E-08 2.775E-03 2.499E+00 4.015E-02 1.128E-02 1.159E-01 4.941E-01 3.09E-11  7.50E-05  5.36E-03  6.03E-03  6.51E-05
  205   1.0199  9.60E-05 4.210E-06 8.255E-04 5.407E-12 2.822E-08 2.902E-03 2.618E+00 4.063E-02 1.190E-02 1.178E-01 5.197E-01 3.24E-11  8.84E-05  5.87E-03  6.60E-03  7.80E-05
  210   1.0204  9.59E-05 4.597E-06 8.451E-04 5.672E-12 2.933E-08 3.032E-03 2.738E+00 4.111E-02 1.278E-02 1.255E-01 5.495E-01 3.40E-11  1.03E-04  6.42E-03  7.20E-03  9.31E-05
  215   1.0209  9.58E-05 5.007E-06 8.635E-04 5.915E-12 3.043E-08 3.165E-03 2.861E+00 4.156E-02 1.356E-02 1.259E-01 5.787E-01 3.55E-11  1.18E-04  6.99E-03  7.85E-03  1.11E-04
