 -0.885000000000000     
  2.821718-122  3.026876-122  3.147478-122  3.144132-122  3.369238-122  3.378436-122  3.517639-122  3.511616-122
  3.702792-122  3.776965-122  3.781367-122  3.931624-122  3.915733-122  4.116263-122  4.010087-122  4.080335-122
  4.183904-122  4.265540-122  4.282597-122  4.269168-122  4.336084-122  4.366943-122  4.322075-122  4.357642-122
  4.373046-122  4.484679-122  4.369249-122  4.360705-122  4.436441-122  4.382273-122  4.375688-122  4.271604-122
  4.296927-122  4.367165-122  4.230130-122  4.265702-122  4.146280-122  4.191106-122  4.083002-122  3.994764-122
  4.050758-122  3.924101-122  3.934456-122  3.805753-122  3.801325-122  3.759454-122  3.648571-122  3.610741-122
  3.545524-122  3.526729-122  3.434558-122  3.371916-122  3.267768-122  3.272877-122  3.176298-122  3.079391-122
  3.048934-122  2.983139-122  2.925355-122  2.844998-122  2.780187-122  2.718649-122  2.657985-122  2.577204-122
  2.543983-122  2.490390-122  2.462351-122  2.352448-122  2.319721-122  2.260188-122  2.218415-122  2.162936-122
  2.075732-122  2.096643-122  2.006915-122  1.968365-122  1.927486-122  1.900990-122  1.837855-122  1.791071-122
  1.775719-122  1.732372-122  1.703790-122  1.650444-122  1.642590-122  1.625215-122  1.573755-122  1.541776-122
  1.539685-122  1.511271-122  1.484718-122  1.462233-122  1.438928-122  1.444450-122  1.399949-122  1.391490-122
  1.383594-122  1.379435-122  1.357107-122  1.335799-122  1.351561-122  1.323586-122  1.320548-122  1.304559-122
  1.305105-122  1.310713-122  1.291113-122  1.285671-122  1.290504-122  1.286312-122  1.288226-122  1.263299-122
  1.275430-122  1.276948-122  1.273142-122  1.273115-122  1.278126-122  1.275716-122  1.272071-122  1.264478-122
  1.266297-122  1.269103-122  1.281063-122  1.256761-122  1.272285-122  1.275231-122  1.266800-122  1.262939-122
  1.269423-122  1.277905-122  1.261713-122  1.271588-122  1.262436-122  1.275709-122  1.252325-122  1.267278-122
  1.259142-122  1.254953-122  1.262874-122  1.245102-122  1.248337-122  1.241401-122  1.246324-122  1.229368-122
  1.235752-122  1.228786-122  1.225116-122  1.219358-122  1.212163-122  1.209043-122  1.197969-122  1.187293-122
  1.182816-122  1.180287-122  1.169976-122  1.163447-122  1.152813-122  1.147663-122  1.125782-122  1.131151-122
  1.120549-122  1.103847-122  1.102037-122  1.085305-122  1.081188-122  1.068846-122  1.058898-122  1.040146-122
  1.030889-122  1.022932-122  1.010341-122  9.913872-123  9.837347-123  9.781017-123  9.540335-123  9.475570-123
  9.349718-123  9.259156-123  9.095875-123  8.907038-123  8.825554-123  8.645031-123  8.554433-123  8.380472-123
  8.264273-123  8.180145-123  7.972003-123  7.884862-123  7.694965-123  7.651066-123  7.451045-123  7.332779-123
  7.152704-123  7.099704-123  6.933837-123  6.766380-123  6.658471-123  6.560983-123  6.399572-123  6.253379-123
  6.181660-123  6.028023-123  5.943535-123  5.731477-123  5.679176-123  5.515549-123  5.403551-123  5.288926-123
  5.183055-123  5.083316-123  4.959096-123  4.834354-123  4.750705-123  4.627619-123  4.515643-123  4.410976-123
  4.323089-123  4.199184-123  4.106449-123  4.028455-123  3.936695-123  3.832029-123  3.734068-123  3.646959-123
 -0.845000000000000     
  6.983444-118  5.156051-122  2.440855-121  4.156189-121  8.499909-121  1.395120-120  1.673464-120  2.233727-120
  2.870338-120  4.267878-120  4.542138-120  5.076995-120  6.475671-120  7.563948-120  8.439655-120  8.480020-120
  1.095705-119  1.149215-119  1.280142-119  1.314441-119  1.484850-119  1.653590-119  1.697214-119  1.815798-119
  1.914468-119  2.140867-119  2.197113-119  2.291956-119  2.412733-119  2.484043-119  2.594366-119  2.726640-119
  2.767221-119  2.945036-119  3.043016-119  3.023167-119  3.209663-119  3.207714-119  3.316276-119  3.285107-119
  3.453035-119  3.486481-119  3.457994-119  3.577958-119  3.524831-119  3.685280-119  3.562046-119  3.590840-119
  3.667602-119  3.706896-119  3.686782-119  3.644189-119  3.676413-119  3.665793-119  3.597382-119  3.598078-119
  3.583654-119  3.636377-119  3.507562-119  3.473936-119  3.507598-119  3.426861-119  3.399636-119  3.275462-119
  3.275178-119  3.298264-119  3.163208-119  3.159500-119  3.040344-119  3.052005-119  2.942548-119  2.856131-119
  2.874041-119  2.751061-119  2.731994-119  2.627989-119  2.597495-119  2.550992-119  2.449351-119  2.408284-119
  2.345101-119  2.310710-119  2.236856-119  2.179725-119  2.098205-119  2.084620-119  2.012317-119  1.937994-119
  1.908315-119  1.858592-119  1.815637-119  1.753161-119  1.711448-119  1.664508-119  1.624031-119  1.572268-119
  1.548802-119  1.515077-119  1.498353-119  1.431110-119  1.413792-119  1.379305-119  1.360719-119  1.328453-119
  1.279857-119  1.296954-119  1.246362-119  1.230196-119  1.212535-119  1.204027-119  1.175053-119  1.152344-119
  1.152306-119  1.131655-119  1.124752-119  1.098956-119  1.105259-119  1.105523-119  1.081389-119  1.069078-119
  1.078527-119  1.069398-119  1.058193-119  1.054254-119  1.048874-119  1.062014-119  1.038874-119  1.041929-119
  1.045499-119  1.049575-119  1.041824-119  1.031327-119  1.052173-119  1.034520-119  1.037314-119  1.031376-119
  1.036663-119  1.046087-119  1.033967-119  1.030813-119  1.038734-119  1.037406-119  1.038817-119  1.019402-119
  1.030218-119  1.029834-119  1.026094-119  1.024198-119  1.025516-119  1.022147-119  1.015739-119  1.007027-119
  1.005552-119  1.003798-119  1.007971-119  9.857190-120  9.907018-120  9.902143-120  9.764869-120  9.688999-120
  9.668863-120  9.663784-120  9.487821-120  9.465580-120  9.353058-120  9.384006-120  9.132371-120  9.184424-120
  9.060209-120  8.960135-120  8.918784-120  8.737112-120  8.667978-120  8.575739-120  8.514775-120  8.311008-120
  8.287337-120  8.154660-120  8.067806-120  7.951185-120  7.823632-120  7.700607-120  7.571287-120  7.420639-120
  7.324036-120  7.247773-120  7.104897-120  6.988982-120  6.858695-120  6.752740-120  6.547676-120  6.509100-120
  6.380949-120  6.220044-120  6.150577-120  5.979120-120  5.900118-120  5.766646-120  5.642877-120  5.477537-120
  5.371759-120  5.270286-120  5.136948-120  4.990419-120  4.889008-120  4.802474-120  4.635497-120  4.547308-120
  4.431271-120  4.330139-120  4.200155-120  4.068080-120  3.979456-120  3.852588-120  3.760010-120  3.633509-120
  3.532433-120  3.457191-120  3.324805-120  3.243929-120  3.128540-120  3.065596-120  2.943895-120  2.855307-120
  2.750856-120  2.692189-120  2.590537-120  2.492057-120  2.415660-120  2.347734-120  2.255019-120  2.172975-120
  2.118021-120  2.034403-120  1.974947-120  1.874431-120  1.826827-120  1.748544-120  1.685520-120  1.625685-120
  1.566377-120  1.511701-120  1.449130-120  1.389637-120  1.343257-120  1.288810-120  1.236341-120  1.185757-120
  1.143216-120  1.092586-120  1.048731-120  1.011503-120  9.712562-121  9.298347-121  8.907126-121  8.542467-121
 -0.835000000000000     
  3.986330-115  4.139321-119  2.025898-118  3.364374-118  6.883520-118  1.105647-117  1.353583-117  1.779538-117
  2.286297-117  3.393133-117  3.595188-117  4.043626-117  5.118246-117  5.957381-117  6.624818-117  6.616205-117
  8.551877-117  8.920657-117  9.878573-117  1.007761-116  1.134245-116  1.259163-116  1.279434-116  1.368545-116
  1.439172-116  1.598488-116  1.628766-116  1.691528-116  1.778607-116  1.814971-116  1.882659-116  1.968102-116
  1.984145-116  2.099992-116  2.151296-116  2.125589-116  2.237308-116  2.230225-116  2.288873-116  2.248857-116
  2.350578-116  2.355231-116  2.314406-116  2.376895-116  2.320452-116  2.409050-116  2.312871-116  2.312239-116
  2.350824-116  2.353932-116  2.324150-116  2.271519-116  2.278551-116  2.251360-116  2.187910-116  2.171105-116
  2.146302-116  2.155984-116  2.063118-116  2.026856-116  2.030070-116  1.963936-116  1.936165-116  1.843142-116
  1.834830-116  1.830003-116  1.739320-116  1.723367-116  1.644096-116  1.640274-116  1.567272-116  1.511511-116
  1.510338-116  1.434476-116  1.414081-116  1.355216-116  1.328857-116  1.298506-116  1.239048-116  1.215291-116
  1.176599-116  1.153656-116  1.115128-116  1.081850-116  1.040472-116  1.030487-116  9.956014-117  9.591040-117
  9.432706-117  9.208054-117  9.023177-117  8.709694-117  8.544724-117  8.339599-117  8.173220-117  7.959284-117
  7.894153-117  7.762734-117  7.730479-117  7.452469-117  7.410531-117  7.290266-117  7.281990-117  7.158706-117
  6.953758-117  7.100884-117  6.893997-117  6.868582-117  6.836362-117  6.855933-117  6.760317-117  6.678686-117
  6.732579-117  6.659890-117  6.678062-117  6.562722-117  6.649532-117  6.690588-117  6.578851-117  6.546125-117
  6.626899-117  6.599174-117  6.538458-117  6.550553-117  6.533136-117  6.611341-117  6.490447-117  6.508259-117
  6.533592-117  6.554554-117  6.499836-117  6.429761-117  6.550730-117  6.421499-117  6.421654-117  6.362062-117
  6.376437-117  6.416315-117  6.307926-117  6.258909-117  6.278114-117  6.241228-117  6.213961-117  6.060534-117
  6.087767-117  6.047231-117  5.988342-117  5.928497-117  5.898283-117  5.837720-117  5.756948-117  5.662212-117
  5.613405-117  5.561964-117  5.532314-117  5.380944-117  5.350663-117  5.308704-117  5.186002-117  5.100184-117
  5.045106-117  4.992002-117  4.856927-117  4.798440-117  4.699398-117  4.672567-117  4.502674-117  4.489972-117
  4.387460-117  4.300592-117  4.229760-117  4.107803-117  4.029107-117  3.954562-117  3.878604-117  3.746113-117
  3.700345-117  3.597898-117  3.529713-117  3.436377-117  3.344762-117  3.251199-117  3.165059-117  3.069601-117
  2.994213-117  2.930850-117  2.842444-117  2.761538-117  2.679775-117  2.605106-117  2.498755-117  2.453313-117
