,f,Xi
364,5.354620899273613e-06,0.0005819292929096816
365,5.3793615039806985e-06,0.0005693827001650387
366,5.404216420705915e-06,0.0005571066162114382
367,5.429186177618943e-06,0.0005450952087876869
368,5.454271305329836e-06,0.0005333427713781142
369,5.479472336900293e-06,0.0005218437205014613
370,5.5047898078549665e-06,0.0005106064412964147
371,5.5302242561929e-06,0.0004996283117171251
372,5.5557762223988786e-06,0.0004888862138822717
373,5.581446249454967e-06,0.0004783750730672424
374,5.607234882852039e-06,0.00046808992365490737
375,5.633142670601353e-06,0.0004580259067897972
376,5.659170163246243e-06,0.0004481782680826883
377,5.685317913873752e-06,0.0004385423553645863
378,5.711586478126435e-06,0.0004291136164889548
379,5.7379764142141386e-06,0.0004198875971812229
380,5.764488282925873e-06,0.0004108599389345183
381,5.791122647641757e-06,0.0004020368295110506
382,5.8178800743449365e-06,0.00039341715416005285
383,5.8447611316336375e-06,0.00038498228477135317
384,5.8717663907332625e-06,0.0003767282591024858
385,5.898896425508492e-06,0.000368651199861527
386,5.9261518124755525e-06,0.0003607473128857328
387,5.95353313081437e-06,0.0003530128853592764
388,5.981040962380944e-06,0.00034544428406914997
389,6.008675891719692e-06,0.0003380379536984849
390,6.036438506075864e-06,0.00033079041515645936
391,6.064329395408063e-06,0.0003236982639439995
392,6.092349152400712e-06,0.0003167593883729642
393,6.120498372476703e-06,0.00030998712130740386
394,6.148777653810029e-06,0.00030335964427140777
395,6.1771875973384885e-06,0.0002968738616763878
396,6.205728806776502e-06,0.0002905267441169563
397,6.234401888627864e-06,0.0002843153269559562
398,6.263207452198693e-06,0.0002782367089397136
399,6.292146109610351e-06,0.00027228805084291314
400,6.3212184758124485e-06,0.0002664665741424434
401,6.350425168595962e-06,0.00026076955971958177
402,6.379766808606283e-06,0.0002551943465899546
403,6.409244019356458e-06,0.00024973833066062236
404,6.438857427240426e-06,0.00024440442813391367
405,6.468607661546321e-06,0.00023919380519798
406,6.498495354469889e-06,0.0002340942710487234
407,6.5285211411278475e-06,0.00022910345730933675
408,6.5586856595714365e-06,0.00022421904609603335
409,6.588989550799957e-06,0.00021943876894155599
410,6.619433458774388e-06,0.00021476040574163306
411,6.650018030431117e-06,0.0002101817837238884
412,6.6807439156956135e-06,0.0002057007764387521
413,6.711611767496288e-06,0.0002013153027718658
414,6.742622241778349e-06,0.00019702332597755344
415,6.773775997517745e-06,0.00019282285273289487
416,6.805073696735207e-06,0.0001887157729474117
417,6.836516004510239e-06,0.0001847037700515535
418,6.868103588995307e-06,0.00018077706032957783
419,6.899837121430025e-06,0.00017693383049129018
420,6.931717276155401e-06,0.00017317230579613985
421,6.963744730628224e-06,0.00016949074923366752
422,6.9959201654353745e-06,0.0001658874607213919
423,7.0282442643083526e-06,0.0001623607763197322
424,7.060717714137781e-06,0.00015890906746363095
425,7.09334120498799e-06,0.00015553074021051048
426,7.1261154301117445e-06,0.00015222423450420995
427,7.159041085964888e-06,0.0001489880234545862
428,7.192118872221193e-06,0.0001458206126324151
429,7.225349491787221e-06,0.00014272906664878352
430,7.258733650817247e-06,0.00013970330740209892
431,7.2922720587283125e-06,0.00013674169219582405
432,7.3259654282152296e-06,0.00013384286121988085
433,7.359814475265771e-06,0.00013100548349124008
434,7.393819919175873e-06,0.00012822825624280896
435,7.42798248256491e-06,0.00012550990432527267
436,7.462302891391107e-06,0.00012284917962161206
437,7.496781874966878e-06,0.00012024486047404455
438,7.531420165974376e-06,0.00011769575112310168
