#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------orms------brms------umax------bmax-----divu2m----gg2m------oum------ourms-----oxurms----o2u2m---
  185   1.0181  9.74E-05 1.485E-07 7.743E-04 5.465E-12 1.961E-08 5.449E-04 4.295E-01 3.935E-02 2.599E-03 1.064E-01 6.877E-04 3.28E-11  1.97E-04  3.52E-04  1.29E-04  1.40E-07
  190   1.0186  9.73E-05 1.645E-07 7.922E-04 5.644E-12 2.037E-08 5.736E-04 4.523E-01 3.981E-02 2.702E-03 1.129E-01 7.171E-04 3.39E-11  2.18E-04  3.90E-04  1.42E-04  1.72E-07
  195   1.0191  9.73E-05 1.818E-07 8.084E-04 5.859E-12 2.114E-08 6.029E-04 4.756E-01 4.021E-02 2.820E-03 1.149E-01 7.479E-04 3.52E-11  2.42E-04  4.32E-04  1.57E-04  2.11E-07
  200   1.0196  9.73E-05 2.000E-07 8.273E-04 6.172E-12 2.189E-08 6.325E-04 4.991E-01 4.068E-02 2.938E-03 1.137E-01 7.774E-04 3.70E-11  2.66E-04  4.76E-04  1.73E-04  2.56E-07
  205   1.0200  9.72E-05 2.197E-07 8.476E-04 6.568E-12 2.264E-08 6.628E-04 5.233E-01 4.117E-02 3.053E-03 1.227E-01 8.090E-04 3.94E-11  2.93E-04  5.23E-04  1.89E-04  3.10E-07
  210   1.0205  9.72E-05 2.407E-07 8.679E-04 6.937E-12 2.337E-08 6.938E-04 5.480E-01 4.166E-02 3.161E-03 1.231E-01 8.438E-04 4.16E-11  3.21E-04  5.74E-04  2.07E-04  3.73E-07
  215   1.0210  9.70E-05 2.632E-07 8.955E-04 7.273E-12 2.411E-08 7.255E-04 5.733E-01 4.232E-02 3.256E-03 1.301E-01 8.816E-04 4.36E-11  3.51E-04  6.29E-04  2.26E-04  4.47E-07
  220   1.0215  9.71E-05 2.872E-07 9.153E-04 7.619E-12 2.485E-08 7.578E-04 5.991E-01 4.279E-02 3.350E-03 1.266E-01 9.216E-04 4.57E-11  3.84E-04  6.87E-04  2.46E-04  5.32E-07
  225   1.0220  9.71E-05 3.126E-07 9.359E-04 8.009E-12 2.560E-08 7.907E-04 6.253E-01 4.326E-02 3.449E-03 1.232E-01 9.606E-04 4.81E-11  4.18E-04  7.49E-04  2.67E-04  6.32E-07
  230   1.0225  9.70E-05 3.395E-07 9.542E-04 8.392E-12 2.636E-08 8.240E-04 6.518E-01 4.369E-02 3.542E-03 1.248E-01 1.001E-03 5.04E-11  4.54E-04  8.13E-04  2.90E-04  7.46E-07
  235   1.0229  9.71E-05 3.679E-07 9.648E-04 8.745E-12 2.714E-08 8.578E-04 6.788E-01 4.393E-02 3.658E-03 1.224E-01 1.042E-03 5.25E-11  4.93E-04  8.82E-04  3.15E-04  8.77E-07
  240   1.0234  9.71E-05 3.979E-07 9.696E-04 9.075E-12 2.791E-08 8.921E-04 7.060E-01 4.404E-02 3.823E-03 1.211E-01 1.076E-03 5.45E-11  5.33E-04  9.55E-04  3.40E-04  1.03E-06
  245   1.0239  9.70E-05 4.297E-07 9.889E-04 9.450E-12 2.869E-08 9.270E-04 7.338E-01 4.447E-02 3.979E-03 1.247E-01 1.108E-03 5.67E-11  5.76E-04  1.03E-03  3.67E-04  1.20E-06
  250   1.0244  9.70E-05 4.632E-07 1.009E-03 9.782E-12 2.947E-08 9.625E-04 7.618E-01 4.493E-02 4.134E-03 1.222E-01 1.140E-03 5.87E-11  6.21E-04  1.11E-03  3.96E-04  1.39E-06
  255   1.0249  9.70E-05 4.980E-07 1.020E-03 1.007E-11 3.024E-08 9.980E-04 7.898E-01 4.517E-02 4.292E-03 1.193E-01 1.175E-03 6.04E-11  6.67E-04  1.19E-03  4.26E-04  1.61E-06
  260   1.0254  9.69E-05 5.347E-07 1.044E-03 1.040E-11 3.102E-08 1.034E-03 8.182E-01 4.569E-02 4.481E-03 1.253E-01 1.214E-03 6.24E-11  7.16E-04  1.28E-03  4.57E-04  1.85E-06
  265   1.0259  9.69E-05 5.732E-07 1.060E-03 1.086E-11 3.179E-08 1.071E-03 8.471E-01 4.604E-02 4.674E-03 1.272E-01 1.258E-03 6.51E-11  7.68E-04  1.37E-03  4.90E-04  2.12E-06
  270   1.0263  9.69E-05 6.137E-07 1.082E-03 1.140E-11 3.255E-08 1.108E-03 8.764E-01 4.652E-02 4.871E-03 1.231E-01 1.304E-03 6.84E-11  8.22E-04  1.47E-03  5.25E-04  2.43E-06
  275   1.0268  9.68E-05 6.562E-07 1.119E-03 1.202E-11 3.333E-08 1.146E-03 9.061E-01 4.730E-02 5.053E-03 1.283E-01 1.355E-03 7.21E-11  8.79E-04  1.57E-03  5.61E-04  2.78E-06
  280   1.0273  9.68E-05 7.013E-07 1.144E-03 1.261E-11 3.415E-08 1.184E-03 9.367E-01 4.783E-02 5.246E-03 1.288E-01 1.413E-03 7.56E-11  9.39E-04  1.68E-03  6.01E-04  3.17E-06
  285   1.0278  9.67E-05 7.489E-07 1.156E-03 1.303E-11 3.502E-08 1.224E-03 9.678E-01 4.808E-02 5.435E-03 1.267E-01 1.477E-03 7.82E-11  1.00E-03  1.79E-03  6.42E-04  3.61E-06
  290   1.0283  9.66E-05 7.986E-07 1.165E-03 1.336E-11 3.592E-08 1.264E-03 9.992E-01 4.827E-02 5.623E-03 1.264E-01 1.541E-03 8.02E-11  1.07E-03  1.91E-03  6.85E-04  4.11E-06
  295   1.0288  9.65E-05 8.500E-07 1.183E-03 1.372E-11 3.682E-08 1.304E-03 1.031E+00 4.864E-02 5.814E-03 1.271E-01 1.608E-03 8.23E-11  1.14E-03  2.03E-03  7.30E-04  4.65E-06
  300   1.0292  9.65E-05 9.033E-07 1.196E-03 1.403E-11 3.773E-08 1.344E-03 1.062E+00 4.891E-02 6.023E-03 1.320E-01 1.674E-03 8.42E-11  1.21E-03  2.16E-03  7.76E-04  5.26E-06
  305   1.0297  9.64E-05 9.591E-07 1.228E-03 1.428E-11 3.862E-08 1.385E-03 1.094E+00 4.955E-02 6.321E-03 1.349E-01 1.740E-03 8.57E-11  1.28E-03  2.29E-03  8.25E-04  5.93E-06
  310   1.0302  9.64E-05 1.017E-06 1.247E-03 1.463E-11 3.950E-08 1.426E-03 1.127E+00 4.994E-02 6.625E-03 1.398E-01 1.805E-03 8.78E-11  1.36E-03  2.43E-03  8.75E-04  6.68E-06
  315   1.0307  9.63E-05 1.077E-06 1.263E-03 1.503E-11 4.037E-08 1.468E-03 1.160E+00 5.026E-02 6.938E-03 1.435E-01 1.869E-03 9.02E-11  1.44E-03  2.58E-03  9.28E-04  7.50E-06
