,f,M
129,0.025333077214210454,-0.00010982521889403574
130,0.02568526734295399,-0.0001460793976957031
131,0.026132550979805436,-0.0001460793976957031
132,0.02640502136904671,-3.7316861290714876e-05
133,0.02668020800590197,3.519149631261986e-05
134,0.026865340899940672,0.00010769985391594766
135,0.02705163203021941,0.00014395403271761503
136,0.027333429774176906,0.0001802082115192824
137,0.028098187129962104,-3.7316861290714876e-05
138,0.028884341500979547,-0.0002548419341006983
139,0.029388020403398038,-7.35710400923753e-05
140,0.02990034264608524,7.144567511428723e-05
141,0.03063197483828815,0.00010769985391594766
142,0.030950635296974224,3.519149631261986e-05
143,0.031707078243583306,-0.0001460793976957031
144,0.032037222236750325,-0.0001460793976957031
145,0.032821141786255364,-0.00010982521889403574
146,0.03327774481809705,-7.35710400923753e-05
