,f,M
74,0.003917281198424208,-0.016719320408285956
75,0.003982943132276711,-0.01723466751821648
76,0.004066570470194253,-0.01736376132667665
77,0.0041692442552880744,-0.01714952600691251
78,0.004274510373706195,-0.016119731395472764
79,0.004364259564588976,-0.014660630793827817
80,0.00445589316247043,-0.012643515939983772
81,0.004549450733052507,-0.01032593187341714
82,0.0046449726727731755,-0.008008347806850516
83,0.004742500226248865,-0.005175673661330871
84,0.004821994579699081,-0.0029438736835120244
85,0.004902821426966685,-0.00036868031972451393
86,0.005005762867656534,0.002249372959564712
87,0.00508967006084695,0.005039187189582649
88,0.0051965346441290965,0.007270922909657106
89,0.005283639576550666,0.00881593611553861
90,0.005394576815077124,0.010489657583413983
91,0.005507843332638151,0.01160536479909026
92,0.0055538130585528955,0.011862781323078005
93,0.005646906734295792,0.012077145158330901
94,0.005789481243389261,0.011776290399142034
95,0.005911039319472418,0.010745788952514108
96,0.006035149673599124,0.008770955694472352
97,0.0061363115709929614,0.006710338347682802
98,0.00623916915615558,0.004821417693877589
99,0.006370169044935883,0.002503191049867154
100,0.006423335939370056,0.0007002472580428659
101,0.0065310046611694855,-0.001446218435238858
102,0.00664047813890312,-0.0038502291679970713
103,0.006751786624104809,-0.006125467381017047
104,0.006893549617652345,-0.007713983079844056
105,0.007009100117112352,-0.00861564774898934
106,0.00709703229719467,-0.009130930601175494
107,0.00721599359755649,-0.009302884325137345
108,0.007336948941398901,-0.008916823796900113
109,0.007459931753116137,-0.008015673189709874
110,0.007584976017366126,-0.00647065998382837
111,0.00768013280867102,-0.0047538858272181544
112,0.00784138769991904,-0.0025221501071436975
113,0.007972825974166743,-0.0005908193420474314
114,0.008039369011552467,0.00116894324555325
115,0.008140226358695525,0.0031003382683938846
116,0.008276673802122372,0.004902896513751885
117,0.008415408393841826,0.006147440506910802
118,0.008520983317011623,0.006876958678861088
119,0.008592101401523219,0.007177299376094917
120,0.008736123228219688,0.007219966518363478
121,0.008845721657132075,0.006962228705653835
122,0.00899399469674993,0.006189336556246802
123,0.009144753106711739,0.004214567555949414
124,0.009259477973463822,0.0027549528923494215
125,0.009453893376272815,0.0009088921540459094
126,0.009532797742480774,-0.0011945208505009658
127,0.009652390796335664,-0.0029116805535774615
128,0.009773484196564916,-0.0045000677369157124
129,0.009937308502331224,-0.005315884059568829
130,0.010103878850616262,-0.005788306996253274
