 -0.885000000000000     
  1.678510-167  1.739665-167  1.711302-167  1.762164-167  1.748134-167  1.817438-167  1.794951-167  1.808719-167
  1.848328-167  1.841892-167  1.906163-167  1.868657-167  1.908874-167  1.935413-167  1.919141-167  1.949566-167
  1.945755-167  1.989781-167  1.975506-167  1.986062-167  1.988902-167  2.017240-167  2.020020-167  1.997875-167
  2.017566-167  2.029626-167  2.043508-167  2.027304-167  2.050804-167  2.034658-167  2.037959-167  2.033325-167
  2.035842-167  2.043659-167  2.067019-167  2.024176-167  2.041647-167  2.035505-167  2.030325-167  2.040482-167
  1.983382-167  2.049831-167  2.004731-167  1.999906-167  1.997923-167  2.004538-167  1.979651-167  1.955292-167
  1.968697-167  1.955223-167  1.955159-167  1.931738-167  1.942338-167  1.929453-167  1.897631-167  1.883247-167
  1.894563-167  1.878830-167  1.855728-167  1.846180-167  1.827640-167  1.837161-167  1.799759-167  1.794541-167
  1.776747-167  1.780100-167  1.761725-167  1.724531-167  1.736991-167  1.700872-167  1.700078-167  1.668861-167
  1.670785-167  1.661776-167  1.628065-167  1.609938-167  1.603455-167  1.589788-167  1.580798-167  1.540614-167
  1.537603-167  1.525370-167  1.505736-167  1.490670-167  1.471201-167  1.462371-167  1.441085-167  1.415562-167
  1.399207-167  1.391885-167  1.380567-167  1.345645-167  1.343415-167  1.329274-167  1.303234-167  1.286045-167
  1.274803-167  1.268568-167  1.234221-167  1.225731-167  1.201203-167  1.200070-167  1.163843-167  1.159253-167
  1.139372-167  1.120221-167  1.118402-167  1.088480-167  1.075423-167  1.059570-167  1.049051-167  1.022769-167
  1.013531-167  9.971381-168  9.847522-168  9.640659-168  9.501813-168  9.376816-168  9.163767-168  9.076421-168
  8.902113-168  8.787448-168  8.601459-168  8.454115-168  8.327142-168  8.145276-168  7.958015-168  7.907162-168
  7.735472-168  7.584854-168  7.477900-168  7.310497-168  7.240380-168  7.050527-168  6.941323-168  6.780457-168
  6.653632-168  6.549495-168  6.430431-168  6.273566-168  6.151722-168  6.079872-168  5.892248-168  5.818732-168
  5.690789-168  5.600925-168  5.469635-168  5.330873-168  5.240660-168  5.140891-168  5.041496-168  4.900909-168
  4.816210-168  4.748370-168  4.607317-168  4.526109-168  4.428585-168  4.350477-168  4.229120-168  4.143746-168
  4.039974-168  3.991768-168  3.892532-168  3.788827-168  3.727054-168  3.641024-168  3.562027-168  3.466883-168
  3.427822-168  3.337707-168  3.283983-168  3.173241-168  3.133467-168  3.051452-168  2.989891-168  2.935481-168
  2.873275-168  2.818902-168  2.756334-168  2.694738-168  2.647945-168  2.594026-168  2.539772-168  2.483463-168
  2.450836-168  2.402535-168  2.353167-168  2.308451-168  2.276593-168  2.231501-168  2.191689-168  2.147949-168
 -0.845000000000000     
  3.544624-161  1.261533-165  3.316239-165  6.680530-165  1.337007-164  2.099775-164  2.708614-164  3.523656-164
  4.628074-164  7.060829-164  7.295502-164  8.610596-164  1.052135-163  1.252733-163  1.448774-163  1.479518-163
  1.894078-163  2.100228-163  2.287949-163  2.358297-163  2.734191-163  3.125185-163  3.137234-163  3.488716-163
  3.674578-163  4.144142-163  4.437264-163  4.589329-163  4.937599-163  5.266289-163  5.386506-163  5.815780-163
  5.978934-163  6.484732-163  6.762877-163  6.929463-163  7.479429-163  7.609616-163  7.985843-163  8.102671-163
  8.711080-163  8.996625-163  9.100674-163  9.521487-163  9.763795-163  1.025713-162  1.028689-162  1.065562-162
  1.104276-162  1.138895-162  1.163526-162  1.183544-162  1.222233-162  1.250412-162  1.269405-162  1.295415-162
  1.322512-162  1.358856-162  1.357090-162  1.388360-162  1.439402-162  1.439776-162  1.474616-162  1.462557-162
  1.512174-162  1.566373-162  1.540531-162  1.585535-162  1.572634-162  1.634528-162  1.613890-162  1.625439-162
  1.660475-162  1.654428-162  1.711765-162  1.677563-162  1.713161-162  1.736541-162  1.720555-162  1.748049-162
  1.744363-162  1.782594-162  1.769751-162  1.778738-162  1.780866-162  1.805817-162  1.807871-162  1.787723-162
  1.804707-162  1.815885-162  1.827207-162  1.812348-162  1.832827-162  1.818512-162  1.820898-162  1.816475-162
  1.818417-162  1.825241-162  1.845589-162  1.807239-162  1.822382-162  1.816905-162  1.811882-162  1.820762-162
  1.769845-162  1.829220-162  1.788466-162  1.783942-162  1.782432-162  1.787901-162  1.765454-162  1.744372-162
  1.756041-162  1.744193-162  1.743800-162  1.723607-162  1.732994-162  1.721363-162  1.693093-162  1.679806-162
  1.690397-162  1.676636-162  1.655945-162  1.647232-162  1.630961-162  1.639828-162  1.606303-162  1.602081-162
  1.585900-162  1.589132-162  1.572850-162  1.539660-162  1.551052-162  1.519170-162  1.518980-162  1.490852-162
  1.492718-162  1.485024-162  1.454793-162  1.439249-162  1.433172-162  1.421342-162  1.413308-162  1.377795-162
  1.375216-162  1.364464-162  1.346911-162  1.333557-162  1.316224-162  1.308807-162  1.289682-162  1.266869-162
  1.252422-162  1.245879-162  1.236092-162  1.204629-162  1.202756-162  1.190321-162  1.166997-162  1.151715-162
  1.141708-162  1.136246-162  1.105768-162  1.097916-162  1.076189-162  1.075012-162  1.042591-162  1.038677-162
  1.020977-162  1.003794-162  1.001909-162  9.754390-163  9.636677-163  9.493420-163  9.400084-163  9.164306-163
  9.080157-163  8.933442-163  8.823053-163  8.635960-163  8.512850-163  8.398795-163  8.208417-163  8.129568-163
  7.973652-163  7.870334-163  7.702303-163  7.568175-163  7.454635-163  7.290952-163  7.122593-163  7.076007-163
  6.921281-163  6.785684-163  6.688780-163  6.536929-163  6.473833-163  6.302823-163  6.204101-163  6.058663-163
  5.944877-163  5.849984-163  5.741625-163  5.601557-163  5.490407-163  5.424966-163  5.256142-163  5.188487-163
  5.073331-163  4.991759-163  4.873283-163  4.748960-163  4.665101-163  4.576048-163  4.485414-163  4.358317-163
  4.281420-163  4.219818-163  4.092936-163  4.018349-163  3.930441-163  3.859610-163  3.750151-163  3.673077-163
  3.579569-163  3.535186-163  3.445772-163  3.351756-163  3.296204-163  3.218025-163  3.147460-163  3.061617-163
  3.025828-163  2.944588-163  2.896056-163  2.796673-163  2.760415-163  2.686513-163  2.630731-163  2.581773-163
  2.525840-163  2.476816-163  2.420550-163  2.365383-163  2.322687-163  2.274950-163  2.226102-163  2.175358-163
  2.146397-163  2.103059-163  2.058830-163  2.018274-163  1.989673-163  1.949504-163  1.913983-163  1.875007-163
 -0.835000000000000     
  1.354444-156  4.981232-161  1.266268-160  2.584527-160  5.132748-160  8.082309-160  1.050553-159  1.361707-159
  1.792461-159  2.729402-159  2.819490-159  3.322355-159  4.068055-159  4.845413-159  5.621253-159  5.733694-159
  7.361216-159  8.156393-159  8.909001-159  9.171190-159  1.061978-158  1.215864-158  1.219817-158  1.358234-158
  1.429531-158  1.613342-158  1.730069-158  1.790271-158  1.922704-158  2.052316-158  2.099694-158  2.267881-158
  2.331535-158  2.530321-158  2.638207-158  2.705551-158  2.920028-158  2.972657-158  3.119567-158  3.162483-158
  3.398079-158  3.510968-158  3.549370-158  3.718433-158  3.809867-158  4.000191-158  4.013360-158  4.156442-158
  4.307804-158  4.441068-158  4.536066-158  4.615002-158  4.765135-158  4.872008-158  4.945819-158  5.045936-158
  5.153122-158  5.291133-158  5.283365-158  5.406202-158  5.600089-158  5.603290-158  5.735760-158  5.689609-158
  5.878271-158  6.086327-158  5.985277-158  6.156340-158  6.105297-158  6.343771-158  6.262966-158  6.303611-158
  6.437328-158  6.413322-158  6.633332-158  6.499762-158  6.635920-158  6.724304-158  6.656733-158  6.764006-158
  6.749195-158  6.891091-158  6.841781-158  6.874813-158  6.880694-158  6.974999-158  6.981746-158  6.902410-158
  6.964882-158  7.009287-158  7.048277-158  6.988852-158  7.065555-158  7.010902-158  7.017247-158  6.998683-158
  7.004877-158  7.029977-158  7.105536-158  6.958225-158  7.013785-158  6.992070-158  6.970265-158  7.003211-158
  6.807469-158  7.034932-158  6.875828-158  6.856815-158  6.851089-158  6.869578-158  6.781784-158  6.702465-158
  6.745400-158  6.700066-158  6.696669-158  6.620744-158  6.655914-158  6.609593-158  6.500134-158  6.446852-158
  6.489037-158  6.435698-158  6.355172-158  6.319927-158  6.257467-158  6.292174-158  6.161631-158  6.146183-158
  6.082204-158  6.094803-158  6.031608-158  5.903652-158  5.947069-158  5.825753-158  5.825351-158  5.715229-158
  5.722151-158  5.692884-158  5.575576-158  5.516812-158  5.491582-158  5.447477-158  5.414887-158  5.279328-158
  5.268862-158  5.227867-158  5.159032-158  5.106935-158  5.040144-158  5.012460-158  4.938007-158  4.849327-158
  4.794158-158  4.767877-158  4.730751-158  4.608258-158  4.600584-158  4.552751-158  4.462712-158  4.403636-158
  4.364616-158  4.343275-158  4.227142-158  4.195083-158  4.111660-158  4.105656-158  3.980763-158  3.966063-158
  3.898142-158  3.831514-158  3.822164-158  3.721717-158  3.676097-158  3.619459-158  3.583507-158  3.492791-158
  3.459149-158  3.402537-158  3.359614-158  3.286955-158  3.239901-158  3.194879-158  3.121913-158  3.090907-158
  3.030996-158  2.990846-158  2.925576-158  2.872926-158  2.829259-158  2.765954-158  2.701012-158  2.682322-158
  2.622552-158  2.570223-158  2.532409-158  2.473285-158  2.448737-158  2.382810-158  2.344537-158  2.288292-158
  2.244551-158  2.207432-158  2.165109-158  2.111877-158  2.068377-158  2.042697-158  1.978097-158  1.951148-158
  1.907036-158  1.875420-158  1.829816-158  1.782539-158  1.749167-158  1.715244-158  1.680039-158  1.631127-158
  1.601388-158  1.577551-158  1.529125-158  1.499921-158  1.466191-158  1.438813-158  1.397111-158  1.367580-158
  1.331909-158  1.314379-158  1.280265-158  1.244240-158  1.223053-158  1.192928-158  1.166285-158  1.133566-158
  1.119681-158  1.088730-158  1.070116-158  1.032577-158  1.018554-158  9.905057-159  9.692624-159  9.505569-159
  9.294396-159  9.108110-159  8.895121-159  8.687223-159  8.523279-159  8.345458-159  8.161108-159  7.968187-159
  7.860588-159  7.697194-159  7.531174-159  7.376040-159  7.268647-159  7.118323-159  6.985642-159  6.840364-159
 -0.825000000000000     
  2.406547-152  9.270242-157  2.274139-156  4.676593-156  9.202667-156  1.453762-155  1.910133-155  2.466294-155
  3.248964-155  4.941426-155  5.096757-155  5.993814-155  7.364978-155  8.776230-155  1.021677-154  1.040820-154
  1.340868-154  1.484201-154  1.626535-154  1.671161-154  1.931800-154  2.216743-154  2.223823-154  2.478186-154
  2.606519-154  2.944182-154  3.163117-154  3.275056-154  3.510117-154  3.749394-154  3.837742-154  4.146395-154
