 -0.885000000000000     
  0.000000E+00 -3.074805-102 -1.562161-102  9.915702-102  2.730447-101  2.027229-101  5.725222-101  6.162590-101
  6.750581-101  1.397682-100  1.504771-100  2.414006-100  2.655278-100  1.826722-100  4.851263-100  5.333902-100
  1.587880E-85  1.672441E-85  1.760996E-85  1.847241E-85  1.978918E-85  2.196245E-85  2.231982E-85  2.454958E-85
  2.603209E-85  2.765448E-85  2.883995E-85  3.024863E-85  3.184591E-85  3.401692E-85  3.527727E-85  3.680574E-85
  3.886995E-85  4.099681E-85  4.202591E-85  4.456276E-85  4.690774E-85  4.873316E-85  5.126219E-85  5.183306E-85
  5.425664E-85  5.868555E-85  5.915462E-85  6.190262E-85  6.365679E-85  6.760906E-85  6.871098E-85  7.035357E-85
  7.397397E-85  7.533975E-85  7.997018E-85  8.096049E-85  8.416488E-85  8.755535E-85  8.830221E-85  9.213329E-85
  9.471876E-85  9.889554E-85  1.004204E-84  1.035727E-84  1.054525E-84  1.095138E-84  1.132221E-84  1.137466E-84
  1.186495E-84  1.220778E-84  1.244374E-84  1.265891E-84  1.309591E-84  1.335927E-84  1.362233E-84  1.387861E-84
  1.423986E-84  1.465634E-84  1.507609E-84  1.516500E-84  1.553894E-84  1.606828E-84  1.626276E-84  1.660692E-84
  1.652999E-84  1.747877E-84  1.742722E-84  1.789790E-84  1.829954E-84  1.865758E-84  1.884796E-84  1.900396E-84
  1.956621E-84  1.985334E-84  2.026142E-84  2.035675E-84  2.114930E-84  2.149108E-84  2.137963E-84  2.182851E-84
  2.234259E-84  2.271714E-84  2.291331E-84  2.332114E-84  2.358182E-84  2.417201E-84  2.423851E-84  2.457888E-84
  2.487559E-84  2.542259E-84  2.584897E-84  2.580750E-84  2.650692E-84  2.650319E-84  2.703636E-84  2.709650E-84
  2.771582E-84  2.819449E-84  2.820350E-84  2.838002E-84  2.881033E-84  2.938872E-84  2.993660E-84  2.947372E-84
  3.016243E-84  3.066306E-84  3.078854E-84  3.099602E-84  3.132074E-84  3.174293E-84  3.181567E-84  3.201570E-84
  3.244303E-84  3.284935E-84  3.311496E-84  3.300617E-84  3.362855E-84  3.380652E-84  3.392415E-84  3.407871E-84
  3.453767E-84  3.505076E-84  3.469347E-84  3.525449E-84  3.510435E-84  3.576428E-84  3.530427E-84  3.591644E-84
  3.594507E-84  3.608369E-84  3.658227E-84  3.631443E-84  3.646471E-84  3.661740E-84  3.695608E-84  3.676762E-84
  3.703133E-84  3.711319E-84  3.730120E-84  3.711954E-84  3.722376E-84  3.745040E-84  3.723607E-84  3.751701E-84
  3.740572E-84  3.765780E-84  3.749276E-84  3.730604E-84  3.756657E-84  3.723258E-84  3.690361E-84  3.710785E-84
  3.698288E-84  3.689306E-84  3.691930E-84  3.667501E-84  3.672625E-84  3.652657E-84  3.642853E-84  3.602693E-84
  3.591586E-84  3.580922E-84  3.556976E-84  3.531209E-84  3.507945E-84  3.504768E-84  3.432193E-84  3.432373E-84
  3.414579E-84  3.391337E-84  3.358887E-84  3.306127E-84  3.273906E-84  3.248287E-84  3.219118E-84  3.157470E-84
  3.139503E-84  3.095230E-84  3.046316E-84  3.011493E-84  2.962343E-84  2.948866E-84  2.875762E-84  2.839727E-84
  2.790039E-84  2.766394E-84  2.709557E-84  2.642662E-84  2.611265E-84  2.559352E-84  2.509261E-84  2.441730E-84
  2.414084E-84  2.355873E-84  2.307600E-84  2.232107E-84  2.193982E-84  2.129080E-84  2.074504E-84  2.031653E-84
  1.967824E-84  1.916623E-84  1.864942E-84  1.799764E-84  1.751499E-84  1.698093E-84  1.639997E-84  1.581269E-84
  1.529817E-84  1.466182E-84  1.412000E-84  1.356473E-84  1.307946E-84  1.253422E-84  1.195756E-84  1.133973E-84
 -0.825000000000000     
  0.000000E+00 -7.905495E-87 -1.128401E-86  2.199670E-86  5.676421E-86  4.369314E-86  1.277860E-85  1.344201E-85
  1.131368E-85  1.517636E-85  2.684412E-85  4.831963E-85  4.796759E-85  7.620102E-85  1.001123E-84  9.968463E-85
  1.562458E-84  1.827697E-84  2.161276E-84  2.545321E-84  2.856864E-84  3.277051E-84  3.912700E-84  4.450855E-84
  4.594411E-84  5.335793E-84  6.314975E-84  6.773027E-84  7.801488E-84  8.237298E-84  9.261257E-84  9.824245E-84
  1.093466E-83  1.200251E-83  1.327416E-83  1.383982E-83  1.540585E-83  1.638499E-83  1.790777E-83  1.883281E-83
  2.069558E-83  2.185455E-83  2.299554E-83  2.416620E-83  2.585932E-83  2.868957E-83  2.910901E-83  3.204005E-83
  3.395310E-83  3.603950E-83  3.755837E-83  3.940002E-83  4.148319E-83  4.425886E-83  4.587036E-83  4.779360E-83
  5.049195E-83  5.317361E-83  5.452366E-83  5.781274E-83  6.077920E-83  6.313609E-83  6.633556E-83  6.706322E-83
  7.012586E-83  7.578282E-83  7.638474E-83  7.979365E-83  8.199887E-83  8.710305E-83  8.847043E-83  9.049298E-83
  9.501696E-83  9.677754E-83  1.026759E-82  1.039114E-82  1.078340E-82  1.121661E-82  1.128658E-82  1.178232E-82
  1.210841E-82  1.262744E-82  1.280644E-82  1.319934E-82  1.344139E-82  1.393959E-82  1.440853E-82  1.445905E-82
  1.505589E-82  1.549018E-82  1.577758E-82  1.603038E-82  1.657423E-82  1.690377E-82  1.721369E-82  1.751963E-82
  1.796882E-82  1.847380E-82  1.898365E-82  1.909524E-82  1.955801E-82  2.019498E-82  2.042515E-82  2.083756E-82
  2.072702E-82  2.190531E-82  2.181637E-82  2.237952E-82  2.286729E-82  2.330084E-82  2.352208E-82  2.370022E-82
  2.437847E-82  2.472275E-82  2.521472E-82  2.530385E-82  2.628057E-82  2.667827E-82  2.651470E-82  2.705075E-82
  2.767943E-82  2.812260E-82  2.833934E-82  2.882682E-82  2.911620E-82  2.983732E-82  2.988626E-82  3.029205E-82
  3.063703E-82  3.129542E-82  3.178542E-82  3.172795E-82  3.255905E-82  3.254882E-82  3.318192E-82  3.320586E-82
  3.395277E-82  3.452297E-82  3.452473E-82  3.471127E-82  3.521278E-82  3.589306E-82  3.654218E-82  3.595538E-82
