 -0.885000000000000     
  0.000000E+00  8.340322-101 -7.020142-101 -3.556446-101 -4.780314-100  3.991812-100  1.854698-100  7.405457-100
 -7.151596E-87 -7.033594E-87 -4.958609E-87 -6.698599E-87 -4.445295E-87 -5.581902E-87 -2.840119E-87 -4.859565E-87
 -3.926539E-87 -1.416787E-87  8.442065E-88 -2.170005E-87  1.109949E-87  2.971655E-87  5.519970E-88  4.658283E-87
  5.628174E-87  7.346998E-87  7.291148E-87  1.209008E-86  9.970435E-87  1.291039E-86  1.293813E-86  1.677273E-86
  1.813986E-86  2.007425E-86  2.041146E-86  2.054505E-86  2.163923E-86  2.569562E-86  2.921263E-86  2.799831E-86
  3.277933E-86  3.412572E-86  3.393920E-86  3.839494E-86  3.838060E-86  4.384990E-86  4.501274E-86  4.781428E-86
  4.949753E-86  5.130490E-86  5.352972E-86  5.352191E-86  5.963992E-86  6.216725E-86  6.142941E-86  6.337156E-86
 -0.835000000000000     
  0.000000E+00  1.395124E-87 -1.698834E-89 -3.139811E-87 -8.573151E-87  1.728601E-87  3.458461E-88 -1.228274E-87
 -8.806819E-87  1.061850E-86  8.911762E-87 -3.492375E-86 -3.280248E-86 -3.126471E-86 -3.148002E-86 -3.442356E-86
 -7.440963E-86 -5.429585E-86 -9.812319E-86 -1.929668E-86 -9.011225E-86 -1.322997E-85 -1.636182E-85 -1.385638E-85
 -1.465174E-85 -2.243190E-85 -2.488194E-85 -2.288550E-85 -2.912930E-85 -4.124748E-85 -3.695296E-85 -4.485397E-85
 -3.504951E-85 -4.365521E-85 -6.206246E-85 -4.258738E-85 -5.619357E-85 -7.289313E-85 -7.470505E-85 -7.721593E-85
 -9.901672E-85 -7.338668E-85 -1.007324E-84 -9.986833E-85 -1.184767E-84 -1.280493E-84 -1.197700E-84 -1.360782E-84
 -1.435505E-84 -1.309422E-84 -1.499415E-84 -1.348628E-84 -1.529761E-84 -1.508851E-84 -1.431430E-84 -1.549468E-84
 -1.867693E-84 -1.812728E-84 -1.886369E-84 -1.939353E-84 -1.793892E-84 -2.016604E-84 -2.097462E-84 -1.810280E-84
 -1.776483E-84 -1.976822E-84 -1.687728E-84 -1.705252E-84 -1.904559E-84 -1.687945E-84 -2.127691E-84 -1.730472E-84
 -1.623722E-84 -1.646953E-84 -1.670926E-84 -1.384505E-84 -1.603435E-84 -1.506445E-84 -1.699868E-84 -1.093072E-84
 -1.005309E-84 -9.506332E-85 -5.425230E-85 -8.862383E-85 -4.597343E-85 -6.539225E-85 -1.350409E-85 -4.894428E-85
 -2.950829E-85  1.587529E-85  6.265167E-85  7.208646E-86  6.769137E-85  1.051499E-84  6.139062E-85  1.413747E-84
  1.595902E-84  1.913870E-84  1.940676E-84  2.817082E-84  2.459688E-84  3.002836E-84  3.012451E-84  3.723780E-84
  3.971299E-84  4.389533E-84  4.449705E-84  4.476687E-84  4.705122E-84  5.460944E-84  6.076407E-84  5.871314E-84
  6.741129E-84  7.018734E-84  6.985621E-84  7.768452E-84  7.806835E-84  8.771692E-84  8.970632E-84  9.483120E-84
  9.786396E-84  1.013598E-83  1.053956E-83  1.052406E-83  1.163877E-83  1.207465E-83  1.195323E-83  1.230929E-83
 -0.825000000000000     
  0.000000E+00  2.055382E-85  4.782839E-87 -4.180897E-85 -9.660255E-85  3.736450E-85  3.613081E-85  3.053425E-85
 -4.723251E-85  1.547678E-84  2.240812E-84 -2.742146E-84 -2.351398E-84 -1.891853E-84 -7.703703E-85 -8.283426E-85
 -5.167367E-84 -1.426780E-84 -6.647129E-84  4.562337E-84 -3.777552E-84 -7.758630E-84 -1.171202E-83 -6.933421E-84
 -7.309522E-84 -1.500402E-83 -1.651198E-83 -1.382213E-83 -1.946676E-83 -3.442635E-83 -2.779250E-83 -3.538997E-83
 -2.220455E-83 -3.073369E-83 -5.385366E-83 -2.731860E-83 -4.241284E-83 -6.299332E-83 -6.289286E-83 -6.418659E-83
 -9.296325E-83 -5.500770E-83 -8.990507E-83 -8.844108E-83 -1.105827E-82 -1.206824E-82 -1.090728E-82 -1.297204E-82
 -1.358711E-82 -1.198178E-82 -1.403133E-82 -1.206898E-82 -1.433980E-82 -1.377481E-82 -1.272901E-82 -1.450908E-82
 -1.805148E-82 -1.723025E-82 -1.815003E-82 -1.883588E-82 -1.666221E-82 -1.950221E-82 -2.019248E-82 -1.676232E-82
 -1.593376E-82 -1.858723E-82 -1.475954E-82 -1.490008E-82 -1.697858E-82 -1.413775E-82 -1.959554E-82 -1.471070E-82
 -1.271978E-82 -1.320575E-82 -1.303310E-82 -9.291873E-83 -1.191636E-82 -1.006940E-82 -1.289674E-82 -4.646111E-83
 -3.285987E-83 -1.921408E-83  3.705214E-83 -1.015764E-83  4.867339E-83  2.659511E-83  9.669453E-83  5.205668E-83
  8.279567E-83  1.398279E-82  2.091855E-82  1.389556E-82  2.183916E-82  2.737559E-82  2.168658E-82  3.279911E-82
  3.538115E-82  3.972935E-82  4.072153E-82  5.209917E-82  4.793237E-82  5.522503E-82  5.549520E-82  6.515108E-82
  6.822054E-82  7.479804E-82  7.569739E-82  7.623824E-82  7.959604E-82  8.993554E-82  9.747420E-82  9.511433E-82
  1.066434E-81  1.107318E-81  1.105868E-81  1.203545E-81  1.215694E-81  1.338391E-81  1.362585E-81  1.430687E-81
  1.472125E-81  1.519929E-81  1.575302E-81  1.571274E-81  1.715623E-81  1.773086E-81  1.758816E-81  1.807056E-81
 -0.815000000000000     
  0.000000E+00  2.248457E-83  4.783329E-85 -3.953665E-83 -7.599344E-83  5.147997E-83  7.199779E-83  8.792756E-83
  4.775843E-84  3.531411E-82  3.692779E-82 -4.088491E-83  1.405295E-83  9.173973E-83  3.417381E-82  3.722600E-82
  8.017797E-83  5.676185E-82  1.518359E-82  1.310576E-81  6.543566E-82  4.675706E-82  1.322719E-82  7.801086E-82
  8.266307E-82  4.206826E-82  4.867783E-82  8.005979E-82  5.914541E-82 -7.166300E-82  4.725348E-83 -2.861576E-82
  1.038600E-81  6.219399E-82 -1.434603E-81  1.220242E-81  2.118942E-82 -1.577565E-81 -1.245939E-81 -1.097323E-81
 -3.736733E-81  4.000385E-82 -2.731110E-81 -2.535738E-81 -4.315464E-81 -4.904256E-81 -3.692589E-81 -5.519114E-81
 -5.557604E-81 -4.038561E-81 -5.424687E-81 -3.567103E-81 -5.492609E-81 -4.596464E-81 -3.545874E-81 -5.409134E-81
 -7.975991E-81 -6.926334E-81 -7.823167E-81 -8.397941E-81 -5.883816E-81 -8.559460E-81 -8.750683E-81 -5.850266E-81
 -4.494793E-81 -6.985053E-81 -3.343947E-81 -3.420603E-81 -4.712809E-81 -2.029729E-81 -6.916622E-81 -2.603724E-81
  1.075137E-82 -7.087770E-82  1.629958E-82  3.581886E-81  1.370932E-81  3.752518E-81  7.542880E-82  8.912028E-81
  1.044612E-80  1.245676E-80  1.802557E-80  1.333525E-80  1.930866E-80  1.753726E-80  2.441802E-80  2.021805E-80
  2.379735E-80  2.887731E-80  3.632966E-80  2.996649E-80  3.756685E-80  4.355211E-80  3.806209E-80  4.928823E-80
  5.200442E-80  5.645586E-80  5.805099E-80  6.882591E-80  6.533134E-80  7.257544E-80  7.301097E-80  8.276952E-80
  8.542419E-80  9.288216E-80  9.395468E-80  9.476774E-80  9.829090E-80  1.088283E-79  1.155037E-79  1.136112E-79
  1.249753E-79  1.293179E-79  1.296552E-79  1.386086E-79  1.405505E-79  1.521011E-79  1.542830E-79  1.610277E-79
  1.653821E-79  1.701087E-79  1.759454E-79  1.753861E-79  1.890714E-79  1.949028E-79  1.937418E-79  1.987024E-79
 -0.805000000000000     
  0.000000E+00  1.855516E-81 -1.411570E-83 -2.752661E-81 -4.313171E-81  4.826466E-81  8.230658E-81  1.097258E-80
  3.567599E-81  3.702703E-80  3.970327E-80  1.521327E-80  2.098129E-80  2.975303E-80  6.005597E-80  6.476416E-80
  5.517838E-80  1.005734E-79  7.910691E-80  1.681480E-79  1.348337E-79  1.380503E-79  1.192383E-79  1.824911E-79
  1.929666E-79  1.929486E-79  2.164331E-79  2.464127E-79  2.607256E-79  1.787517E-79  2.442286E-79  2.571404E-79
  3.597572E-79  3.680491E-79  2.355121E-79  4.363150E-79  4.068808E-79  2.949582E-79  3.483521E-79  3.832085E-79
