,a,t,eta,ap/a,app/a
4074,9.198062783746251e-12,0.002281825957521984,514211667.58802336,2.0566657046480544e-09,8.171598283540247e-26
4075,9.244780192415439e-12,0.0023045970878561146,516681038.0279672,2.0464848311887875e-09,8.130303697035797e-26
4076,9.291734881077569e-12,0.0023275977319975483,519162694.4338308,2.0363555601648222e-09,8.089217773578788e-26
4077,9.338928054889355e-12,0.0023508302083835517,521656702.70387876,2.026276048692076e-09,8.048339452926359e-26
4078,9.386360925128442e-12,0.0023742968758850547,524163117.5333631,2.016237722540586e-09,8.007667710480045e-26
4079,9.434034709224655e-12,0.0023980001563699694,526682011.6606854,2.0062502649182485e-09,7.967201557056163e-26
4080,9.4819506307912e-12,0.0024219424099031803,529213441.1600694,1.996313419668312e-09,7.926939808023495e-26
4081,9.530109919656041e-12,0.002446126056222508,531757468.5532798,1.986426931935312e-09,7.886881616658988e-26
4082,9.57851381189361e-12,0.0024705534812251573,534314159.5472785,1.9765905481585262e-09,7.847025828900535e-26
4083,9.627163549856307e-12,0.002495227202014388,536883585.6403434,1.9667978098512256e-09,7.807371415953366e-26
4084,9.67606038220654e-12,0.0025201497599028184,539465803.7232151,1.9570471619326526e-09,7.767917430048676e-26
4085,9.72520556394869e-12,0.0025453236738821514,542060883.2264946,1.9473459150413905e-09,7.72866281668634e-26
4086,9.77460035646149e-12,0.002570751514021083,544668892.2299336,1.9376938203426366e-09,7.689606567964412e-26
4087,9.824246027530156e-12,0.002596435775651872,547289884.9023235,1.9280906302651104e-09,7.650747679362899e-26
4088,9.874143851379086e-12,0.0026223790708045703,549923934.9659361,1.918536098494694e-09,7.61208514981516e-26
4089,9.924295108704527e-12,0.002648584059203737,552571116.8622663,1.9090206369999607e-09,7.573618054589634e-26
4090,9.974701086707405e-12,0.002675053425098023,555231488.3274918,1.8995506531509356e-09,7.53534531186157e-26
4091,1.002536307912652e-11,0.0027017898695170864,557905127.2941135,1.890128640605054e-09,7.497266007540072e-26
4092,1.0076282386271518e-11,0.0027287960222060173,560592090.2141441,1.8807543576753823e-09,7.459379114177925e-26
4093,1.0127460315056415e-11,0.002756074626230903,563292438.2729069,1.8714275639017285e-09,7.42168368720849e-26
4094,1.0178898179033073e-11,0.0027836284370867112,566006242.1452657,1.862147022694052e-09,7.384178766415289e-26
4095,1.0230597298425065e-11,0.0028114602745543137,568733588.175411,1.8529049078107367e-09,7.346863343439695e-26
4096,1.0282559000161324e-11,0.0028395729934150905,571474535.9531131,1.8437096038649887e-09,7.309736494077334e-26
4097,1.0334784617910361e-11,0.0028679694012482253,574229149.4257859,1.8345608749742656e-09,7.27279730681685e-26
4098,1.0387275492114452e-11,0.0028966523725776636,576997503.7769492,1.825458486452959e-09,7.236044778997593e-26
4099,1.0440032970024003e-11,0.0029256247505810478,579779656.1935394,1.8164022048064017e-09,7.199477949707778e-26
4100,1.0493058405732299e-11,0.0029548894958922513,582575679.3968017,1.8073877977696039e-09,7.163095944455442e-26
4101,1.0546353160210003e-11,0.0029844496074796834,585385650.460198,1.798413948100229e-09,7.126897745809254e-26
4102,1.0599918601340253e-11,0.003014308130854374,588209656.6022326,1.789485546148168e-09,7.090882518987072e-26
4103,1.0653756103953696e-11,0.0030444679893293987,591047741.6849262,1.7806023628697038e-09,7.055049299669002e-26
4104,1.0707867049863933e-11,0.003074932270900378,593899985.4526552,1.7717641703830786e-09,7.01939709306274e-26
4105,1.076225282790274e-11,0.0031057040172188383,596766459.7657541,1.762970741962705e-09,6.983925099958641e-26
4106,1.0816914833955875e-11,0.0031367863540138646,599647230.471704,1.7542151173150062e-09,6.948632360097606e-26
4107,1.0871854470998871e-11,0.0031681825057561356,602542378.6072282,1.7455019275261472e-09,6.913517978582484e-26
4108,1.0927073149132998e-11,0.0031998956267178034,605451977.1973522,1.7368328611881668e-09,6.878581046134081e-26
4109,1.0982572285621632e-11,0.0032319289155780884,608376110.2389495,1.7282076959029743e-09,6.843820655292042e-26
4110,1.1038353304926364e-11,0.00326428558250737,611314833.7741591,1.7196262104005313e-09,6.809235934528232e-26
4111,1.1094417638743739e-11,0.0032969688626682575,614268217.0190408,1.711087164017949e-09,6.77482599431492e-26
4112,1.1150766726041915e-11,0.0033299821545133977,617236350.2891438,1.7025841819002358e-09,6.740589921920071e-26
4113,1.1207402013097774e-11,0.0033633288272643435,620219302.5666287,1.694124253880062e-09,6.70652686327011e-26
4114,1.1264324953533773e-11,0.003397012206794089,623217143.2454644,1.6857071629164392e-09,6.672635959274639e-26
4115,1.1321537008355433e-11,0.003431035713976127,626229952.3271806,1.6773326930689667e-09,6.638916290300457e-26
4116,1.1379039645988796e-11,0.0034654027705884397,629257812.0017478,1.6690006294923035e-09,6.605367033989186e-26
4117,1.143683434231806e-11,0.0035001172630756998,632300828.0013003,1.6606780160332314e-09,6.571987394787353e-26
4118,1.1494922580723655e-11,0.00353518308966703,635359104.0597843,1.6523612646227476e-09,6.53877650017131e-26
4119,1.1553305852120029e-11,0.003570604459514131,638432778.3038033,1.6440865650190998e-09,6.505733378180897e-26
4120,1.1611985654994105e-11,0.003606384952052445,641521928.124473,1.6358537048551662e-09,6.472857273071532e-26
4121,1.1670963495443649e-11,0.003642528145276278,644626619.8356905,1.6276624728378575e-09,6.440147323795281e-26
4122,1.1730240887216109e-11,0.0036790377202271796,647746932.218665,1.6195126587426691e-09,6.407602642151337e-26
4123,1.1789819351747191e-11,0.003715917486228718,650882955.3439493,1.611396490427092e-09,6.375222462551374e-26
4124,1.1849700418200093e-11,0.003753171261955753,654034779.9287573,1.6033206425446979e-09,6.343005901354334e-26
4125,1.1909885623504708e-11,0.0037908028430374994,657202479.396005,1.5952856247540641e-09,6.310952144068977e-26
4126,1.197037651239702e-11,0.0038288160610215898,660386131.9406104,1.5872912308362853e-09,6.279060353906338e-26
4127,1.203117463745895e-11,0.0038672147755411147,663585818.8249733,1.5793372556152254e-09,6.247329737338535e-26
4128,1.2092281559157914e-11,0.003906002889068315,666801621.2594906,1.5714221833928886e-09,6.21575944720503e-26
4129,1.2153698845887065e-11,0.0039451843910593065,670033619.7317187,1.5635448186855783e-09,6.184348742062919e-26
4130,1.2215428074005448e-11,0.003984763344519769,673281907.1087865,1.5557072794925655e-09,6.153096752552564e-26
4131,1.2277470827878668e-11,0.004024743648730496,676546544.966897,1.54790936466234e-09,6.122002670359247e-26
4132,1.2339828699919244e-11,0.004065129482621173,679827634.4032452,1.5401508740605312e-09,6.091065741194924e-26
4133,1.2402503290627693e-11,0.004105924915720639,683125261.5566678,1.532431608564747e-09,6.060285118881166e-26
4134,1.2465496208633544e-11,0.004147134114989328,686439499.7224518,1.5247485819066402e-09,6.029660080563329e-26
4135,1.2528809070736588e-11,0.004188761328753661,689770436.5048256,1.5171037540484614e-09,5.999189753120263e-26
4136,1.2592443501948575e-11,0.004230810795833495,693118158.5862151,1.509497575257806e-09,5.968873447150127e-26
4137,1.265640113553461e-11,0.004273286805379121,696482750.5751326,1.5019298503204355e-09,5.938710354929713e-26
4138,1.2720683613055286e-11,0.004316193625454712,699864290.4330844,1.4944003850091723e-09,5.908699646143494e-26
