 -0.885000000000000     
  0.000000E+00 -8.516877-101 -4.327017-101  2.746542-100  7.563043-100  5.615203-100  1.585824E-99  1.706970E-99
  4.767543E-90  4.673357E-90  4.600744E-90  4.471129E-90  4.417269E-90  4.308312E-90  4.220350E-90  4.154863E-90
  4.046245E-90  3.963962E-90  3.878317E-90  3.767458E-90  3.689489E-90  3.598836E-90  3.497575E-90  3.395718E-90
  3.306520E-90  3.191921E-90  3.096395E-90  2.998288E-90  2.911560E-90  2.812846E-90  2.705353E-90  2.588097E-90
 -0.855000000000000     
  0.000000E+00 -3.856061E-92 -3.836517E-92  7.656758E-92  2.898868E-91  1.516646E-91  5.582064E-91  5.669674E-91
  5.029175E-91  1.301078E-90  7.663014E-91  1.428774E-90  2.002448E-90  3.302666E-90  4.112718E-90  4.382699E-90
  6.575724E-90  7.654744E-90  9.074316E-90  1.047122E-89  1.187272E-89  1.386656E-89  1.634322E-89  1.874094E-89
  1.944037E-89  2.241306E-89  2.673887E-89  2.849959E-89  3.294967E-89  3.524761E-89  3.934778E-89  4.175408E-89
  4.645120E-89  5.117187E-89  5.684058E-89  5.890947E-89  6.554550E-89  6.971948E-89  7.603550E-89  8.049475E-89
  8.921421E-89  9.376658E-89  9.891201E-89  1.034927E-88  1.109292E-88  1.232567E-88  1.256301E-88  1.381706E-88
  1.465811E-88  1.559419E-88  1.628351E-88  1.707260E-88  1.801436E-88  1.927629E-88  2.000360E-88  2.091893E-88
  2.208937E-88  2.335790E-88  2.393775E-88  2.539565E-88  2.677408E-88  2.787539E-88  2.936769E-88  2.969820E-88
  3.114958E-88  3.375330E-88  3.401352E-88  3.575981E-88  3.676721E-88  3.909029E-88  3.978646E-88  4.080896E-88
  4.303783E-88  4.381401E-88  4.652223E-88  4.719796E-88  4.918684E-88  5.124571E-88  5.186799E-88  5.407970E-88
  5.565191E-88  5.822259E-88  5.925397E-88  6.119968E-88  6.234580E-88  6.487151E-88  6.712851E-88  6.763056E-88
  7.074513E-88  7.277636E-88  7.435753E-88  7.576772E-88  7.846472E-88  8.015064E-88  8.187207E-88  8.359334E-88
  8.585884E-88  8.852371E-88  9.124137E-88  9.187679E-88  9.421936E-88  9.764013E-88  9.899925E-88  1.012040E-87
  1.009115E-87  1.067869E-87  1.067596E-87  1.098160E-87  1.124504E-87  1.148257E-87  1.161376E-87  1.172812E-87
  1.208576E-87  1.228806E-87  1.255672E-87  1.264223E-87  1.314370E-87  1.337653E-87  1.333163E-87  1.363299E-87
  1.396539E-87  1.421807E-87  1.436311E-87  1.463974E-87  1.482005E-87  1.519942E-87  1.527798E-87  1.549911E-87
  1.571885E-87  1.608115E-87  1.636726E-87  1.635298E-87  1.682275E-87  1.682571E-87  1.718196E-87  1.726173E-87
  1.766791E-87  1.798691E-87  1.800613E-87  1.813530E-87  1.844093E-87  1.882395E-87  1.920081E-87  1.892063E-87
  1.938251E-87  1.970880E-87  1.982463E-87  1.996275E-87  2.020611E-87  2.048929E-87  2.056136E-87  2.072582E-87
  2.100845E-87  2.129238E-87  2.147596E-87  2.143643E-87  2.186993E-87  2.198177E-87  2.209025E-87  2.221068E-87
  2.252722E-87  2.287711E-87  2.265924E-87  2.305143E-87  2.296776E-87  2.343299E-87  2.315044E-87  2.356053E-87
  2.358341E-87  2.371076E-87  2.406057E-87  2.390198E-87  2.401752E-87  2.414816E-87  2.438780E-87  2.429331E-87
