 -0.885000000000000     
  0.000000E+00  3.405944E-94  8.512854E-94  1.666657E-93  3.881384E-93  5.730048E-93  7.426728E-93  9.266687E-93
  1.263072E-92  2.014442E-92  1.967336E-92  1.139896E-92  2.324309E-92  3.548419E-92  4.193733E-92  4.338247E-92
  5.715967E-92  6.250186E-92  6.805293E-92  7.329215E-92  8.318252E-92  9.568375E-92  9.969193E-92  1.118388E-91
  1.166267E-91  1.329173E-91  1.477068E-91  1.529793E-91  1.689511E-91  1.797903E-91  1.906255E-91  2.056248E-91
  2.160837E-91  2.337190E-91  2.529628E-91  2.584577E-91  2.821984E-91  2.946668E-91  3.137604E-91  3.236799E-91
  3.528278E-91  3.675091E-91  3.809444E-91  3.989238E-91  4.141250E-91  4.531372E-91  4.562234E-91  4.908712E-91
  5.148441E-91  5.413472E-91  5.599270E-91  5.790298E-91  6.061514E-91  6.374721E-91  6.579662E-91  6.820508E-91
  7.117565E-91  7.487728E-91  7.577646E-91  7.974481E-91  8.346551E-91  8.600632E-91  9.005833E-91  9.053038E-91
  9.471934E-91  1.014643E-90  1.013682E-90  1.064245E-90  1.080976E-90  1.148298E-90  1.160966E-90  1.187910E-90
  1.245621E-90  1.261521E-90  1.333183E-90  1.346511E-90  1.398546E-90  1.451122E-90  1.464958E-90  1.520387E-90
  1.558167E-90  1.625199E-90  1.649654E-90  1.697700E-90  1.727648E-90  1.791808E-90  1.846881E-90  1.860145E-90
  1.939073E-90  1.989214E-90  2.031383E-90  2.064116E-90  2.131873E-90  2.175596E-90  2.218061E-90  2.262260E-90
  2.320615E-90  2.388906E-90  2.458593E-90  2.472866E-90  2.532839E-90  2.619257E-90  2.655378E-90  2.710559E-90
  2.701093E-90  2.854030E-90  2.854169E-90  2.931792E-90  2.999422E-90  3.062870E-90  3.095210E-90  3.123950E-90
  3.214650E-90  3.270620E-90  3.339813E-90  3.361777E-90  3.492155E-90  3.551991E-90  3.539813E-90  3.619200E-90
  3.705946E-90  3.771862E-90  3.809399E-90  3.882259E-90  3.926972E-90  4.025924E-90  4.048772E-90  4.103897E-90
  4.165260E-90  4.261729E-90  4.332940E-90  4.329001E-90  4.453950E-90  4.452598E-90  4.545904E-90  4.568240E-90
  4.674996E-90  4.758500E-90  4.763609E-90  4.795834E-90  4.879469E-90  4.977421E-90  5.078920E-90  5.004562E-90
  5.125337E-90  5.209092E-90  5.240105E-90  5.274579E-90  5.341732E-90  5.413747E-90  5.434189E-90  5.477198E-90
  5.551317E-90  5.623669E-90  5.671679E-90  5.661509E-90  5.775676E-90  5.801850E-90  5.830122E-90  5.861185E-90
  5.943773E-90  6.034140E-90  5.974458E-90  6.076385E-90  6.052806E-90  6.174830E-90  6.098026E-90  6.204026E-90
  6.206898E-90  6.240435E-90  6.331454E-90  6.286047E-90  6.314783E-90  6.347180E-90  6.407217E-90  6.382746E-90
  6.433184E-90  6.446196E-90  6.493502E-90  6.460695E-90  6.487765E-90  6.532933E-90  6.499754E-90  6.554672E-90
  6.534982E-90  6.589594E-90  6.570789E-90  6.541666E-90  6.600729E-90  6.545785E-90  6.491760E-90  6.537992E-90
  6.528033E-90  6.519707E-90  6.527885E-90  6.499343E-90  6.517604E-90  6.495472E-90  6.488453E-90  6.430088E-90
  6.420157E-90  6.413096E-90  6.384112E-90  6.349392E-90  6.320225E-90  6.329060E-90  6.216994E-90  6.229563E-90
  6.216087E-90  6.185750E-90  6.147506E-90  6.066483E-90  6.028825E-90  6.001212E-90  5.965471E-90  5.877663E-90
  5.863004E-90  5.802599E-90  5.733928E-90  5.693495E-90  5.626242E-90  5.625051E-90  5.509523E-90  5.470578E-90
  5.406377E-90  5.391115E-90  5.310278E-90  5.213420E-90  5.182947E-90  5.113743E-90  5.049188E-90  4.952487E-90
  4.931960E-90  4.851832E-90  4.794569E-90  4.677632E-90  4.642019E-90  4.546616E-90  4.476294E-90  4.426805E-90
  4.336946E-90  4.278171E-90  4.211672E-90  4.118849E-90  4.060174E-90  3.994511E-90  3.915081E-90  3.827205E-90
  3.766062E-90  3.676373E-90  3.600274E-90  3.531974E-90  3.472505E-90  3.399939E-90  3.313803E-90  3.218446E-90
 -0.855000000000000     
