 -0.885000000000000     
  0.000000E+00  1.433565-101  3.376341-101  6.244888-101  1.475565-100  2.241929-100  2.934114-100  3.654713-100
  7.044275E-89  7.160452E-89  7.200638E-89  7.248940E-89  7.335358E-89  7.436191E-89  7.460612E-89  7.518317E-89
  7.619065E-89  7.720367E-89  7.785567E-89  7.769575E-89  7.925113E-89  7.964512E-89  8.002350E-89  8.044782E-89
  8.158105E-89  8.283728E-89  8.203651E-89  8.344475E-89  8.313171E-89  8.480333E-89  8.377232E-89  8.524748E-89
  8.532138E-89  8.577302E-89  8.703035E-89  8.644813E-89  8.685912E-89  8.732471E-89  8.818297E-89  8.783541E-89
  8.854807E-89  8.878754E-89  8.940195E-89  8.898831E-89  8.936589E-89  9.000468E-89  8.957020E-89  9.034610E-89
  9.013201E-89  9.087387E-89  9.061057E-89  9.024403E-89  9.104210E-89  9.031746E-89  8.961064E-89  9.025004E-89
  9.010240E-89  8.999599E-89  9.014283E-89  8.974007E-89  9.000149E-89  8.968284E-89  8.959279E-89  8.877926E-89
  8.864430E-89  8.854945E-89  8.814038E-89  8.765784E-89  8.725806E-89  8.737341E-89  8.579644E-89  8.596291E-89
  8.575663E-89  8.533935E-89  8.477745E-89  8.364663E-89  8.309240E-89  8.268875E-89  8.217086E-89  8.091349E-89
  8.068302E-89  7.981993E-89  7.883565E-89  7.824157E-89  7.727252E-89  7.721759E-89  7.559311E-89  7.500827E-89
  7.406582E-89  7.380013E-89  7.264392E-89  7.125079E-89  7.078372E-89  6.977783E-89  6.883564E-89  6.744972E-89
  6.710037E-89  6.594788E-89  6.509879E-89  6.344512E-89  6.288796E-89  6.152533E-89  6.049885E-89  5.975947E-89
  5.847137E-89  5.759867E-89  5.663093E-89  5.529738E-89  5.443187E-89  5.347316E-89  5.233522E-89  5.108448E-89
  5.018886E-89  4.891144E-89  4.782389E-89  4.683125E-89  4.597259E-89  4.493417E-89  4.372294E-89  4.238646E-89
 -0.845000000000000     
  0.000000E+00  1.395748E-90  3.462216E-90  7.026492E-90  1.596647E-89  2.373814E-89  3.047893E-89  3.806147E-89
