#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------brms------umax------bmax------o2m------divu2m----gg2m-----hhTpt-----hhXpt-----hhTp2-----hhXp2------bxpt-------bypt-------bzpt-------bxp2-------byp2-------bzp2-------uxpt-------uypt-------uzpt-------uxp2-------uyp2-------uzp2----
  200   1.0782  3.76E-04 7.483E-04 6.369E-03 6.461E-10 7.417E-06 3.868E-02 1.129E-01 1.771E-01 3.875E-01 1.565E+03 6.292E+00 6.50E-08 1.543E-15 -6.909E-16 3.468E-14 6.478E-14  8.401E-02  1.086E-01  1.673E-02  8.945E-02  -3.476E-02  5.661E-03  -1.086E-02  8.692E-03  5.004E-03  8.268E-03  -2.131E-02  -6.384E-02
  220   1.0857  3.76E-04 7.656E-04 6.314E-03 6.494E-10 7.688E-06 3.912E-02 1.124E-01 1.808E-01 3.703E-01 1.532E+03 6.019E+00 6.53E-08 1.357E-15 -9.422E-16 -3.550E-14 -7.661E-14  7.244E-02  1.210E-01  1.806E-02  9.930E-02  -3.391E-02  -1.336E-02  9.215E-04  -2.758E-03  1.433E-02  -1.892E-03  -3.065E-02  -5.261E-02
  240   1.0933  3.75E-04 7.806E-04 6.262E-03 6.410E-10 7.950E-06 3.950E-02 1.119E-01 1.874E-01 3.713E-01 1.502E+03 5.775E+00 6.44E-08 1.726E-15 -5.884E-16 -3.878E-15 4.121E-14  6.422E-02  1.224E-01  2.624E-02  1.141E-01  -3.831E-02  -1.988E-02  -2.529E-03  -1.580E-03  -1.771E-03  -1.473E-02  -3.676E-02  -4.563E-02
  260   1.1008  3.75E-04 7.932E-04 6.215E-03 6.405E-10 8.190E-06 3.981E-02 1.115E-01 1.912E-01 3.739E-01 1.475E+03 5.558E+00 6.44E-08 1.058E-15 -9.928E-17 -2.836E-14 2.685E-14  5.448E-02  1.231E-01  2.518E-02  1.230E-01  -4.949E-02  -5.229E-03  -7.649E-03  9.927E-04  -3.031E-03  -3.371E-02  -3.322E-02  -4.630E-02
  280   1.1082  3.67E-04 8.039E-04 6.171E-03 6.453E-10 8.413E-06 4.008E-02 1.111E-01 1.963E-01 3.736E-01 1.451E+03 5.368E+00 6.49E-08 4.654E-16 6.207E-16 -4.907E-14 -6.963E-14  5.067E-02  1.246E-01  1.774E-02  1.209E-01  -6.342E-02  7.256E-03  -1.884E-02  8.090E-04  -1.076E-02  -3.527E-02  -2.582E-02  -4.754E-02
  300   1.1156  3.74E-04 8.130E-04 6.130E-03 6.420E-10 8.632E-06 4.030E-02 1.107E-01 1.885E-01 3.716E-01 1.428E+03 5.196E+00 6.45E-08 -2.116E-16 -3.654E-16 2.952E-14 5.230E-14  5.388E-02  1.315E-01  1.055E-02  1.060E-01  -7.311E-02  9.739E-03  -1.797E-02  -2.755E-03  -1.537E-02  -2.209E-02  -2.078E-02  -5.679E-02
  320   1.1231  3.75E-04 8.207E-04 6.090E-03 6.399E-10 8.849E-06 4.049E-02 1.104E-01 1.908E-01 3.607E-01 1.408E+03 5.034E+00 6.43E-08 -1.949E-16 -1.292E-15 -3.743E-14 -3.788E-14  5.932E-02  1.340E-01  -6.162E-03  1.008E-01  -9.283E-02  4.551E-03  -1.086E-02  2.449E-03  -1.474E-02  -1.083E-02  -2.580E-02  -5.414E-02
  340   1.1306  3.74E-04 8.271E-04 6.053E-03 6.416E-10 9.057E-06 4.065E-02 1.100E-01 1.860E-01 3.656E-01 1.389E+03 4.882E+00 6.45E-08 8.710E-16 -2.388E-15 -1.786E-14 3.294E-14  6.698E-02  1.351E-01  -2.487E-02  8.925E-02  -1.196E-01  1.236E-02  -1.039E-04  -2.551E-03  -1.416E-02  -1.037E-02  -3.344E-02  -4.064E-02
  360   1.1380  3.75E-04 8.324E-04 6.018E-03 6.424E-10 9.256E-06 4.078E-02 1.097E-01 1.955E-01 3.639E-01 1.371E+03 4.748E+00 6.46E-08 7.239E-16 -1.267E-15 5.527E-14 7.918E-14  7.426E-02  1.434E-01  -3.033E-02  7.175E-02  -1.245E-01  2.870E-02  1.541E-02  -1.374E-02  -1.596E-02  -1.464E-02  -3.092E-02  -2.702E-02
  380   1.1455  3.76E-04 8.366E-04 5.985E-03 6.497E-10 9.450E-06 4.088E-02 1.094E-01 2.054E-01 3.703E-01 1.354E+03 4.619E+00 6.53E-08 6.917E-16 -2.606E-16 -3.143E-15 -7.189E-14  8.537E-02  1.524E-01  -2.432E-02  5.969E-02  -1.149E-01  4.641E-02  2.243E-02  -2.497E-02  -1.239E-02  -2.133E-02  -1.892E-02  -2.550E-02
