 -0.885000000000000     
  9.274090-117  1.002415-116  1.014269-116  1.007331-116  1.062690-116  1.080182-116  1.067947-116  1.107073-116
  1.095628-116  1.133287-116  1.136084-116  1.101761-116  1.129683-116  1.105999-116  1.109233-116  1.073479-116
  1.089399-116  1.081959-116  1.036490-116  1.033974-116  9.891398-117  1.010266-116  9.405000-117  9.274606-117
  9.207141-117  8.921554-117  8.641720-117  8.140680-117  8.127219-117  7.793887-117  7.461229-117  7.175367-117
  6.943509-117  6.837627-117  6.401139-117  6.187204-117  6.064557-117  5.769444-117  5.575271-117  5.225558-117
  5.157202-117  5.050252-117  4.744185-117  4.689271-117  4.412013-117  4.377081-117  4.163434-117  4.029242-117
  3.987290-117  3.807058-117  3.795906-117  3.628715-117  3.596515-117  3.531811-117  3.398162-117  3.408444-117
  3.355057-117  3.347753-117  3.295193-117  3.228104-117  3.194280-117  3.209892-117  3.174173-117  3.146742-117
  3.147525-117  3.130089-117  3.152992-117  3.101004-117  3.118261-117  3.103003-117  3.103874-117  3.070407-117
  3.113107-117  3.097123-117  3.146304-117  3.090732-117  3.078419-117  3.091306-117  3.095358-117  3.079973-117
  3.018808-117  3.082944-117  3.036251-117  2.990850-117  2.996722-117  3.017100-117  2.965856-117  2.943012-117
  2.938843-117  2.932985-117  2.918028-117  2.856783-117  2.864184-117  2.854655-117  2.796051-117  2.742792-117
  2.762649-117  2.719505-117  2.686963-117  2.655309-117  2.630952-117  2.622642-117  2.548776-117  2.541780-117
 -0.795000000000000     
  2.826880-113  1.265447-116  4.053819-116  5.685267-116  1.320301-115  2.046036-115  2.644728-115  3.279099-115
  4.155121-115  6.179021-115  6.502397-115  7.228340-115  9.056381-115  1.019745-114  1.119609-114  1.134386-114
  1.413046-114  1.497856-114  1.586056-114  1.635477-114  1.785033-114  1.910808-114  1.915154-114  1.997882-114
  2.068111-114  2.226837-114  2.235049-114  2.211448-114  2.311936-114  2.335190-114  2.296516-114  2.363152-114
  2.327236-114  2.389071-114  2.377521-114  2.291310-114  2.327908-114  2.262238-114  2.256665-114  2.168347-114
  2.183079-114  2.151745-114  2.045371-114  2.026295-114  1.922672-114  1.949539-114  1.804752-114  1.765855-114
  1.740587-114  1.673169-114  1.612748-114  1.510271-114  1.499408-114  1.428614-114  1.360785-114  1.301322-114
  1.254908-114  1.231762-114  1.149291-114  1.108526-114  1.086078-114  1.031021-114  9.971625-115  9.355724-115
  9.239630-115  9.078388-115  8.544750-115  8.494815-115  8.035465-115  8.015941-115  7.662255-115  7.476984-115
  7.445427-115  7.159076-115  7.195721-115  6.946053-115  6.924394-115  6.862166-115  6.645261-115  6.719249-115
  6.652284-115  6.686959-115  6.627230-115  6.527290-115  6.481814-115  6.532883-115  6.489336-115  6.447723-115
  6.450762-115  6.435093-115  6.483696-115  6.363230-115  6.413838-115  6.368316-115  6.349027-115  6.271605-115
  6.329223-115  6.282390-115  6.347609-115  6.219137-115  6.156811-115  6.149230-115  6.127296-115  6.056190-115
  5.892614-115  5.981836-115  5.851867-115  5.727376-115  5.687002-115  5.685032-115  5.543627-115  5.455728-115
  5.400047-115  5.344205-115  5.275788-115  5.116286-115  5.088057-115  5.016307-115  4.868246-115  4.733482-115
  4.723045-115  4.603367-115  4.503386-115  4.411748-115  4.318078-115  4.275147-115  4.113002-115  4.058862-115
 -0.785000000000000     
  4.376472-111  2.445771-114  7.637949-114  1.050776-113  2.462096-113  3.796635-113  4.907140-113  6.110492-113
  7.659123-113  1.142635-112  1.196488-112  1.324530-112  1.660532-112  1.862170-112  2.034586-112  2.055959-112
  2.536355-112  2.689620-112  2.832945-112  2.901256-112  3.147579-112  3.362038-112  3.349165-112  3.476084-112
  3.574051-112  3.833657-112  3.816322-112  3.762261-112  3.896841-112  3.910479-112  3.825970-112  3.907884-112
  3.827761-112  3.898664-112  3.851293-112  3.690365-112  3.713494-112  3.581281-112  3.552833-112  3.390018-112
  3.386770-112  3.312465-112  3.125256-112  3.075649-112  2.895825-112  2.915749-112  2.685573-112  2.609433-112
  2.556471-112  2.440224-112  2.341887-112  2.183621-112  2.159237-112  2.047450-112  1.945177-112  1.852720-112
  1.785185-112  1.750904-112  1.633700-112  1.577810-112  1.548928-112  1.471648-112  1.430465-112  1.348418-112
  1.336351-112  1.322596-112  1.250863-112  1.254277-112  1.196081-112  1.202770-112  1.156743-112  1.139458-112
  1.142185-112  1.106670-112  1.120670-112  1.090941-112  1.092128-112  1.089926-112  1.060361-112  1.077345-112
  1.069492-112  1.079443-112  1.072552-112  1.058653-112  1.052028-112  1.059468-112  1.053161-112  1.044596-112
  1.042729-112  1.038972-112  1.043874-112  1.018981-112  1.026380-112  1.014660-112  1.005369-112  9.896844-113
  9.914455-113  9.798753-113  9.826712-113  9.579444-113  9.417771-113  9.338751-113  9.243448-113  9.067163-113
  8.748917-113  8.820178-113  8.555266-113  8.317098-113  8.177611-113  8.107621-113  7.837045-113  7.644294-113
  7.490488-113  7.348021-113  7.191276-113  6.902145-113  6.805720-113  6.631512-113  6.372181-113  6.138314-113
  6.062892-113  5.847862-113  5.659675-113  5.491469-113  5.304753-113  5.212797-113  4.960432-113  4.837401-113
 -0.775000000000000     
  5.450582-109  3.734258-112  1.139858-111  1.541082-111  3.641778-111  5.586127-111  7.214109-111  9.016437-111
  1.119222-110  1.673049-110  1.745464-110  1.921083-110  2.410440-110  2.690564-110  2.927893-110  2.949190-110
  3.605640-110  3.821801-110  4.004463-110  4.072891-110  4.392400-110  4.682542-110  4.633330-110  4.784376-110
  4.883542-110  5.216163-110  5.151594-110  5.059345-110  5.191527-110  5.175064-110  5.036494-110  5.106932-110
  4.973902-110  5.025387-110  4.927294-110  4.695558-110  4.679592-110  4.478825-110  4.418345-110  4.187730-110
  4.153074-110  4.031636-110  3.776936-110  3.694520-110  3.454119-110  3.455019-110  3.169191-110  3.061714-110
  2.986132-110  2.834214-110  2.710499-110  2.521790-110  2.489117-110  2.354878-110  2.237539-110  2.127499-110
  2.054312-110  2.019123-110  1.890957-110  1.834844-110  1.808996-110  1.725440-110  1.691329-110  1.606073-110
  1.599826-110  1.598370-110  1.521140-110  1.539371-110  1.480650-110  1.500707-110  1.451177-110  1.440755-110
  1.451270-110  1.414326-110  1.438965-110  1.408317-110  1.411928-110  1.414014-110  1.377855-110  1.401313-110
  1.390443-110  1.404297-110  1.393270-110  1.373964-110  1.362759-110  1.367279-110  1.355821-110  1.338730-110
  1.331049-110  1.320611-110  1.320179-110  1.279320-110  1.284745-110  1.262923-110  1.241719-110  1.216416-110
  1.207836-110  1.186956-110  1.180122-110  1.142681-110  1.115206-110  1.096902-110  1.077078-110  1.048007-110
  1.002475-110  1.002995-110  9.634648-111  9.301537-111  9.051398-111  8.894132-111  8.518207-111  8.230196-111
  7.977445-111  7.754270-111  7.518285-111  7.137200-111  6.973991-111  6.712958-111  6.381787-111  6.088141-111
  5.948177-111  5.675509-111  5.429910-111  5.213283-111  4.967774-111  4.839940-111  4.551569-111  4.381735-111
 -0.765000000000000     
  5.548573-107  4.581412-110  1.373176-109  1.827236-109  4.350024-109  6.637989-109  8.564286-109  1.072587-108
  1.320388-108  1.975449-108  2.055714-108  2.246837-108  2.821264-108  3.132766-108  3.397931-108  3.409123-108
  4.135009-108  4.375864-108  4.561878-108  4.607926-108  4.939584-108  5.255311-108  5.163393-108  5.304232-108
  5.373799-108  5.712198-108  5.598946-108  5.476107-108  5.567350-108  5.512713-108  5.335223-108  5.371465-108
  5.200376-108  5.212333-108  5.072144-108  4.807752-108  4.746457-108  4.509278-108  4.423507-108  4.165960-108
  4.103679-108  3.955932-108  3.682474-108  3.582924-108  3.330002-108  3.311954-108  3.029107-108  2.914240-108
  2.835011-108  2.680758-108  2.558818-108  2.381584-108  2.352736-108  2.226943-108  2.122555-108  2.019599-108
  1.960024-108  1.936040-108  1.825364-108  1.784239-108  1.769619-108  1.697653-108  1.681329-108  1.609556-108
  1.611855-108  1.625021-108  1.555605-108  1.586204-108  1.536667-108  1.566074-108  1.519671-108  1.516084-108
  1.530194-108  1.495618-108  1.523602-108  1.493972-108  1.495985-108  1.498325-108  1.458209-108  1.480063-108
  1.463926-108  1.475556-108  1.457357-108  1.432554-108  1.415399-108  1.412025-108  1.393505-108  1.367514-108
  1.352723-108  1.333648-108  1.324791-108  1.272997-108  1.272396-108  1.242598-108  1.211408-108  1.179742-108
  1.160183-108  1.132517-108  1.115503-108  1.071533-108  1.037884-108  1.012081-108  9.847934-109  9.501150-109
  9.007970-109  8.938355-109  8.496770-109  8.142495-109  7.839260-109  7.630621-109  7.237121-109  6.921758-109
  6.633496-109  6.385744-109  6.130133-109  5.752666-109  5.566564-109  5.291456-109  4.972917-109  4.695955-109
  4.534983-109  4.278780-109  4.043806-109  3.838174-109  3.606554-109  3.479124-109  3.230901-109  3.067990-109
 -0.755000000000000     
  4.685100-105  4.589431-108  1.357490-107  1.780837-107  4.265048-107  6.477785-107  8.350462-107  1.045786-106
  1.278681-106  1.912641-106  1.986756-106  2.154863-106  2.706683-106  2.989037-106  3.232757-106  3.228646-106
  3.889215-106  4.104575-106  4.257839-106  4.271332-106  4.551205-106  4.830499-106  4.711915-106  4.814766-106
  4.841466-106  5.118661-106  4.980743-106  4.849794-106  4.886125-106  4.806193-106  4.623975-106  4.623212-106
  4.448440-106  4.423322-106  4.272044-106  4.028386-106  3.941408-106  3.718255-106  3.627512-106  3.396394-106
  3.325710-106  3.186152-106  2.949900-106  2.857635-106  2.644333-106  2.618808-106  2.391589-106  2.295996-106
  2.232579-106  2.108438-106  2.013167-106  1.879412-106  1.863720-106  1.769746-106  1.696344-106  1.618905-106
  1.582529-106  1.574293-106  1.496707-106  1.475641-106  1.472967-106  1.421702-106  1.422214-106  1.371044-106
  1.378958-106  1.399485-106  1.345095-106  1.378210-106  1.341197-106  1.370065-106  1.330935-106  1.329797-106
  1.340915-106  1.310795-106  1.332986-106  1.305723-106  1.303223-106  1.301743-106  1.262518-106  1.276158-106
  1.255916-106  1.260882-106  1.237258-106  1.210360-106  1.189640-106  1.178609-106  1.155769-106  1.126161-106
  1.107391-106  1.083494-106  1.068568-106  1.017507-106  1.010857-106  9.799878-107  9.469936-107  9.160509-107
  8.918404-107  8.640044-107  8.426626-107  8.022252-107  7.709566-107  7.450864-107  7.177135-107  6.863102-107
  6.447674-107  6.340522-107  5.961347-107  5.666999-107  5.396173-107  5.200653-107  4.881661-107  4.617990-107
  4.374585-107  4.167747-107  3.958826-107  3.670587-107  3.514536-107  3.298346-107  3.061844-107  2.860405-107
  2.728509-107  2.544324-107  2.373810-107  2.225355-107  2.061411-107  1.966208-107  1.801796-107  1.686648-107
 -0.745000000000000     
  3.325957-103  3.809934-106  1.117229-105  1.447802-105  3.484145-105  5.269575-105  6.788261-105  8.483775-105
  1.031751-104  1.541542-104  1.599084-104  1.720431-104  2.160247-104  2.372560-104  2.558840-104  2.542886-104
  3.045150-104  3.201567-104  3.304914-104  3.292674-104  3.487237-104  3.690317-104  3.574006-104  3.631531-104
  3.624896-104  3.809889-104  3.681330-104  3.567007-104  3.562716-104  3.481301-104  3.328595-104  3.305398-104
  3.160563-104  3.118232-104  2.989316-104  2.805054-104  2.721473-104  2.550857-104  2.475514-104  2.306260-104
  2.247150-104  2.141780-104  1.974991-104  1.907317-104  1.760412-104  1.739200-104  1.588975-104  1.525583-104
  1.486040-104  1.405481-104  1.345824-104  1.263358-104  1.260947-104  1.203771-104  1.162369-104  1.114377-104
  1.098221-104  1.101307-104  1.055550-104  1.049288-104  1.053347-104  1.021875-104  1.030215-104  9.978546-105
  1.006258-104  1.024789-104  9.863787-105  1.012529-104  9.870147-105  1.007652-104  9.777553-105  9.755103-105
  9.804058-105  9.563562-105  9.686307-105  9.458175-105  9.396046-105  9.340529-105  9.013287-105  9.060874-105
  8.860770-105  8.848335-105  8.615173-105  8.378889-105  8.184220-105  8.046377-105  7.832135-105  7.571953-105
  7.397032-105  7.176211-105  7.022549-105  6.623927-105  6.532784-105  6.282790-105  6.016871-105  5.776778-105
  5.566136-105  5.347174-105  5.161795-105  4.865985-105  4.638021-105  4.440924-105  4.231186-105  4.008177-105
  3.729940-105  3.632276-105  3.376140-105  3.181163-105  2.994951-105  2.856415-105  2.651824-105  2.479033-105
  2.320881-105  2.186561-105  2.053735-105  1.880501-105  1.780151-105  1.648937-105  1.510739-105  1.395441-105
  1.313916-105  1.210213-105  1.113978-105  1.030569-105  9.408875-106  8.861095-106  8.007613-106  7.386097-106
 -0.735000000000000     
  2.009550-101  2.658554-104  7.756328-104  9.949402-104  2.403878-103  3.621918-103  4.663249-103  5.805347-103
  7.030807-103  1.048378-102  1.086298-102  1.159087-102  1.453663-102  1.588342-102  1.707917-102  1.688232-102
